From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2020-09-03,28.0,80.0,2.11,3.03,5.45,1.2,11.8,0.41,14.46,0.0,,,,97.26,0.42,260.67,,852.03,,20.2,0.0
2020-09-04,20.425833333333333,57.458333333333336,2.1275,2.70125,5.16,1.07875,11.688333333333333,0.33375,12.04,0.0,,,,89.18,1.0266666666666666,175.0975,,850.7279166666667,,22.044166666666666,0.0
2020-09-05,23.237916666666667,58.0,2.1470833333333332,2.71625,5.184583333333333,1.055,12.349166666666667,0.3333333333333333,12.1075,0.0,,,,85.44583333333333,1.0120833333333332,181.14041666666665,,849.0637499999999,,22.549166666666665,0.0
2020-09-06,21.7025,42.291666666666664,2.1425,2.6783333333333332,5.129583333333334,1.0870833333333334,13.433333333333332,0.32583333333333336,12.862083333333333,0.0,,,,88.88166666666666,0.9891666666666667,166.15333333333334,,848.8670833333334,,21.484166666666667,0.0
2020-09-07,18.69125,46.5,2.145,2.665,5.1241666666666665,1.0920833333333333,13.639583333333334,0.3104166666666667,12.386249999999999,0.0,,,,87.43333333333334,0.9758333333333332,169.56083333333333,,849.4004166666667,,21.883333333333336,0.0
2020-09-08,18.820833333333333,42.875,2.094583333333333,2.7575000000000003,5.147916666666666,1.0825,13.745,0.31416666666666665,14.737916666666665,0.0,,,,88.30291666666666,1.18375,166.86708333333334,,849.9245833333333,,21.911666666666665,0.0
2020-09-09,17.44875,44.25,2.1845833333333333,2.5662499999999997,5.09625,1.0754166666666667,11.794166666666667,0.28875,11.081249999999999,0.0,,,,91.18625000000002,1.1529166666666668,194.9725,,849.1183333333333,,21.960416666666664,0.005
2020-09-10,19.991666666666667,54.791666666666664,2.15375,2.745416666666667,5.239166666666667,1.0554166666666667,11.91125,0.3458333333333334,10.851666666666667,0.0,,,,92.53041666666667,0.9874999999999999,175.83791666666664,,847.20375,,21.88083333333333,0.0
2020-09-11,17.846521739130434,43.47826086956522,2.1975000000000002,2.592916666666667,5.14375,1.0804166666666666,11.980416666666665,0.3670833333333334,9.80625,0.0,,,,96.67291666666667,0.84125,173.97,,848.6125000000001,,20.864166666666666,0.0
2020-09-12,21.347391304347827,41.770434782608696,2.14875,2.671666666666667,5.155,1.0920833333333333,11.996250000000002,0.3658333333333333,10.343333333333334,0.0,,,,97.36458333333333,0.8579166666666667,182.2408333333333,,850.4250000000001,,20.206666666666667,0.0
2020-09-13,15.24375,58.791666666666664,2.1774999999999998,2.6570833333333335,5.1883333333333335,1.0429166666666667,12.189166666666667,0.31958333333333333,8.788333333333334,0.0,,,,93.07291666666667,0.82375,181.31708333333333,,850.65125,,21.186666666666667,0.00125
2020-09-14,14.097916666666668,37.625,2.1687499999999997,2.715833333333333,5.23125,1.06625,12.000833333333333,0.3104166666666667,8.93625,0.0,,,,94.04625,0.8183333333333334,147.45874999999998,,849.6545833333333,,20.905416666666667,0.0025
2020-09-15,20.457916666666666,53.125,2.1904166666666667,2.6595833333333334,5.192916666666666,1.0629166666666667,12.13,0.3491666666666667,10.109583333333333,0.0,,,,93.41041666666666,0.8250000000000001,166.3775,,849.2158333333333,,20.840416666666666,0.00125
2020-09-16,22.67,39.3025,2.1825,2.6374999999999997,5.1658333333333335,1.0375,12.063333333333333,0.4008333333333333,10.735,0.0,,,,81.10923076923078,0.7530769230769232,105.6923076923077,,765.3884615384615,,17.45846153846154,0.0007692307692307692
2020-09-17,17.247916666666665,29.652083333333334,2.107083333333333,2.6508333333333334,5.088333333333334,1.06875,12.027916666666668,0.32,9.500833333333333,0.0,,,,80.08833333333334,0.8725,110.105,,768.3713043478261,,16.896666666666665,0.0008333333333333334
2020-09-18,59.49826086956522,37.94863636363636,2.200416666666667,2.6058333333333334,5.0841666666666665,1.0820833333333333,12.311666666666667,0.34125,9.858333333333333,0.0,,,,84.955,1.1241666666666668,146.91666666666666,,805.2166666666667,,19.252916666666668,0.0008333333333333334
2020-09-19,14.482083333333334,43.166666666666664,2.17125,2.6408333333333336,5.162083333333333,1.0695833333333333,12.382916666666667,0.3,10.687083333333334,0.0,,,,79.39041666666667,1.8908333333333334,123.91041666666666,,846.9241666666667,,23.98125,0.0
2020-09-20,10.064583333333333,22.083333333333332,2.1287499999999997,2.7229166666666664,5.172083333333333,1.0708333333333333,12.165416666666665,0.23916666666666667,9.822083333333333,0.0,,,,72.99583333333334,2.8195833333333336,86.73125,,846.4433333333333,,23.84875,0.0
2020-09-21,13.185416666666667,24.25,2.1758333333333333,2.629583333333333,5.160833333333334,1.0733333333333333,12.34625,0.29,9.92375,0.0,,,,83.43166666666666,2.177916666666667,108.67416666666668,,847.1854166666667,,21.722916666666666,0.00125
2020-09-22,175.25,14.666666666666666,2.1510000000000002,2.641,1.8150000000000002,1.0290000000000001,12.779,0.12125000000000001,9.828,0.0,,,,96.45583333333333,0.97375,136.45250000000001,,848.9258333333333,,20.205416666666668,0.0025
2020-09-23,10.625,19.833333333333332,2.165,2.6445833333333333,5.156666666666667,1.06125,12.670416666666666,0.34874999999999995,5.904166666666666,0.0,,,,94.39958333333334,0.8029166666666666,178.24749999999997,90.15692307692308,849.6229166666667,,20.841666666666665,0.0
