From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm)
2017-06-16,38.0,10.0,2.7,7.1,6.2,,4.1,0.71,18.3,30.1,70.0,3.4,71.0,591.0,754.0,36.8,8.5
2017-06-17,,,,,,,,,,,,,,,,,
2017-06-18,,,,,,,,,,,,,,,,,
2017-06-19,24.0,36.0,0.7,5.2,3.3,,4.5,0.73,19.1,30.5,75.0,3.8,73.0,129.0,751.0,34.6,2.0
2017-06-20,,,,,,,,,,,,,,,,,
2017-06-21,24.0,36.0,0.7,5.2,3.3,,4.5,0.73,19.1,30.5,75.0,3.8,73.0,129.0,751.0,34.6,2.0
2017-06-22,17.0,37.333333333333336,2.373333333333333,7.63,6.004444444444444,,3.391111111111111,0.8122222222222223,15.246666666666666,28.035555555555554,73.69444444444444,2.421111111111111,109.0,183.72222222222223,756.2222222222222,34.35888888888889,9.986666666666666
2017-06-23,14.409583333333332,30.072916666666668,1.9079166666666667,5.772916666666667,4.610416666666667,,4.7175,0.71,17.625,27.842916666666667,77.32625,1.8616666666666666,142.83333333333334,173.31583333333333,756.4479166666666,33.364583333333336,10.0
2017-06-24,11.395833333333334,23.11125,1.86,6.166666666666667,4.738333333333333,,4.059166666666667,0.5795833333333333,16.560416666666665,27.650000000000002,82.62166666666667,1.4754166666666666,167.73625,137.58666666666667,755.15625,32.558749999999996,10.0
2017-06-25,11.78125,22.465416666666666,1.9024999999999999,5.002916666666667,4.197916666666667,,3.921666666666667,0.5599999999999999,19.282916666666665,27.42375,84.63875,1.2608333333333335,175.87875,106.37166666666667,753.7950000000001,32.185833333333335,12.4275
2017-06-26,10.399166666666666,22.833333333333332,1.9566666666666668,4.990833333333334,4.249583333333333,,3.6216666666666666,0.47374999999999995,19.026666666666667,27.414583333333336,85.90291666666667,1.22875,199.01708333333332,106.87124999999999,756.2745833333333,33.35875,3.322608695652174
2017-06-27,13.010416666666666,21.88875,1.9170833333333333,6.483750000000001,4.960416666666666,,4.0304166666666665,0.6358333333333334,14.518333333333333,27.38625,88.27083333333333,1.1624999999999999,194.34708333333333,86.70458333333333,758.1179166666667,32.69541666666667,0.041666666666666664
2017-06-28,14.618333333333334,32.42375,1.8891666666666669,6.894583333333333,5.187916666666667,,4.652083333333334,0.6445833333333334,15.424999999999999,27.480416666666667,81.04166666666667,1.7329166666666664,159.20458333333332,187.27791666666667,757.00375,33.83583333333333,5.965
2017-06-29,15.6075,38.04875,1.9179166666666667,5.065,4.24625,,3.6816666666666666,0.5620833333333334,15.348333333333334,27.196250000000003,78.96875,2.24375,150.35083333333333,222.82625,755.8125,34.33166666666667,14.742173913043478
2017-06-30,14.822916666666666,37.125,1.9183333333333332,5.928333333333334,4.702916666666667,,3.313333333333333,0.5570833333333333,16.517500000000002,26.148749999999996,76.42041666666667,1.7491666666666665,134.86791666666667,169.1425,754.6022727272727,32.71958333333333,9.05625
2017-07-01,14.409583333333332,38.21541666666666,2.0341666666666667,4.013333333333334,3.7862500000000003,,3.395,0.6879166666666667,13.527499999999998,27.21291666666667,81.65625,2.231666666666667,129.8925,125.96875,755.3299999999999,33.995416666666664,12.08
2017-07-02,10.885416666666666,28.284583333333334,2.1891666666666665,1.59,2.6266666666666665,,4.117083333333333,0.5729166666666666,14.52375,26.867083333333337,76.96875,2.561666666666667,148.23625,187.83,755.2291666666666,34.1625,13.4425
2017-07-03,10.239583333333334,22.29875,2.0258333333333334,3.4929166666666664,3.5087499999999996,,4.61,0.6441666666666667,21.057083333333335,27.42,78.32291666666667,2.160833333333333,156.61458333333334,180.28125,756.5487499999999,34.1575,12.887500000000001
2017-07-04,20.3125,45.822916666666664,2.0304166666666665,6.869583333333334,5.301666666666667,,3.7466666666666666,0.6595833333333333,19.911666666666665,27.407916666666665,76.14583333333333,2.5516666666666667,108.36125,218.11083333333332,756.3612499999999,34.72,6.565833333333334
2017-07-05,21.635625,68.40625,1.8629166666666668,5.390833333333333,4.357916666666667,,3.5345833333333334,0.6933333333333334,19.218333333333334,24.747083333333332,77.00333333333333,2.410833333333333,116.63916666666667,181.85416666666666,756.7954545454545,34.017500000000005,12.083478260869565
2017-07-06,19.059285714285714,53.75333333333333,1.915,4.680416666666667,4.0408333333333335,,3.1725,0.5920833333333334,18.203333333333333,25.57625,76.17,2.4316666666666666,132.37833333333333,174.85083333333333,756.50375,34.67166666666667,12.125
2017-07-07,18.454,49.17333333333334,1.9029166666666668,5.866666666666667,4.666666666666667,,3.9279166666666665,0.6445833333333334,16.607916666666664,26.982083333333335,76.40958333333333,2.13625,148.545,174.30208333333334,756.4616666666667,34.73,9.534347826086956
2017-07-08,32.8,49.288333333333334,1.8254166666666667,8.83875,6.177083333333333,,4.064166666666667,0.7583333333333333,15.62625,26.48125,80.03833333333334,1.4691666666666665,123.21499999999999,131.79166666666666,756.6216666666666,34.09375,0.7966666666666667
2017-07-09,14.64625,30.996666666666666,1.91125,4.9783333333333335,4.205,,3.5475,0.5308333333333334,19.015,25.447916666666668,78.89625,2.0470833333333336,104.6875,198.18416666666667,757.0383333333333,33.83291666666667,0.03625
