From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),AT (degree C),RF (mm)
2021-03-26,38.690666666666665,179.92733333333334,2.4893333333333336,8.488666666666667,11.074666666666667,2.558,18.246666666666666,0.5433333333333333,19.339333333333332,0.64,,0.12714285714285714,0.33266666666666667,,58.01533333333334,0.49266666666666664,176.672,370.0855555555556,987.7506666666667,,,27.15533333333333,0.0
2021-03-27,30.45625,142.36791666666667,2.4483333333333333,7.234583333333333,9.898333333333333,2.0391666666666666,18.24416666666667,0.5316666666666666,15.43125,0.5979166666666667,,0.12541666666666665,0.33208333333333334,,61.635,0.4770833333333333,192.8970833333333,350.68384615384616,987.4883333333333,,,24.34875,0.0
2021-03-28,29.864583333333332,138.08833333333334,2.702083333333333,7.7491666666666665,10.707916666666668,2.3154166666666667,18.09,0.5870833333333333,14.187916666666666,0.6266666666666666,,0.14208333333333334,0.3741666666666667,,66.49791666666667,0.4145833333333333,177.455,308.4553846153846,985.71625,,,24.157916666666665,0.0
2021-03-29,33.47291666666667,142.71708333333333,2.3975,7.195833333333333,9.789583333333333,1.9958333333333333,18.43916666666667,0.6145833333333334,18.574583333333333,0.6429166666666667,,0.12208333333333334,0.32083333333333336,,63.2725,0.4808333333333334,182.9525,329.40923076923076,984.2854166666666,,,24.909166666666668,0.0004166666666666667
2021-03-30,35.38913043478261,107.31565217391305,2.787826086956522,8.543478260869565,11.48913043478261,2.8743478260869564,18.47304347826087,0.5434782608695652,12.616521739130436,0.518695652173913,,0.11391304347826088,0.3130434782608696,,85.24260869565217,0.4839130434782609,165.01565217391305,82.63416666666667,982.5773913043478,,,20.24434782608696,0.004347826086956522
2021-03-31,28.574375,66.1375,2.7556249999999998,8.428125,11.383125,2.9725,18.538125,0.469375,10.374375,0.3575,,0.09615384615384616,0.2375,,84.8075,0.48,142.280625,194.4572727272727,980.609375,,,20.284375,0.005
2021-04-01,14.740666666666668,54.35,3.3826666666666667,8.358666666666666,12.194666666666667,3.2946666666666666,18.432000000000002,0.43333333333333335,11.530000000000001,0.31799999999999995,,0.10083333333333333,0.26,,85.964,0.48133333333333334,160.35600000000002,175.57333333333332,981.758,,,21.317999999999998,0.0
2021-04-02,19.365000000000002,75.09,3.317857142857143,5.893571428571429,9.885714285714286,2.202857142857143,18.567857142857143,0.4164285714285714,8.81,0.4135714285714286,,0.13428571428571429,0.3457142857142857,,81.83285714285715,0.47428571428571425,172.56857142857143,304.83700000000005,984.8814285714286,,,22.12357142857143,0.0
2021-04-03,,,,,,,,,,,,,,,,,,,,,,,
2021-04-04,,,,,,,,,,,,,,,,,,,,,,,
2021-04-05,19.745,56.580000000000005,3.5342857142857147,9.214285714285714,8.704285714285714,23.45285714285714,19.24857142857143,0.24857142857142858,22.315714285714286,0.16999999999999998,,0.02,0.11,,36.02571428571429,0.42714285714285716,165.0957142857143,517.1571428571428,987.9757142857143,,,33.152857142857144,0.0
2021-04-06,28.694615384615382,108.05384615384615,2.8061538461538458,10.24076923076923,12.922307692307694,3.7046153846153844,18.99692307692308,0.44846153846153847,24.682307692307692,0.3538461538461538,,0.08428571428571428,0.21357142857142858,,56.92928571428571,0.4935714285714286,173.27357142857142,457.73625,987.0421428571428,,,28.333571428571425,0.0
2021-04-07,35.05428571428571,99.38857142857144,2.557142857142857,10.029285714285715,12.567142857142857,3.5085714285714285,19.2,0.46642857142857147,20.46,0.3507142857142857,,0.045,0.21642857142857144,,67.20928571428571,0.5399999999999999,197.82071428571427,377.025,989.6928571428572,,,24.733571428571427,0.0
2021-04-08,35.690000000000005,94.95583333333333,4.483333333333333,15.667499999999999,20.2975,7.0441666666666665,19.441666666666666,0.62,9.390833333333333,0.4075,,0.1325,0.42083333333333334,,88.15416666666665,0.3925,177.57833333333335,110.39,987.7183333333332,,,22.061666666666667,0.004166666666666667
2021-04-09,35.813529411764705,79.90235294117646,2.5352941176470587,8.217058823529412,10.892941176470588,2.7758823529411765,19.344117647058823,0.5017647058823529,14.246470588235294,0.2523529411764706,,0.07,0.21235294117647058,,82.41470588235293,0.31176470588235294,162.18588235294118,144.69307692307692,988.4111764705883,,,23.274705882352944,0.0
2021-04-10,40.596000000000004,103.526,2.607142857142857,8.395714285714286,11.151428571428571,2.7942857142857145,19.475714285714286,0.4657142857142857,26.322857142857142,0.2742857142857143,,0.2,0.2357142857142857,,62.378571428571426,0.49142857142857144,160.24285714285716,326.8066666666667,986.9742857142857,,,29.737142857142857,0.0
2021-04-11,19.12181818181818,63.82090909090909,2.200909090909091,8.16909090909091,10.412727272727274,2.380909090909091,19.291818181818183,0.3909090909090909,18.645454545454545,0.2318181818181818,,0.48200000000000004,1.0654545454545454,,76.26545454545455,0.5354545454545454,174.13181818181818,156.028,989.3772727272727,,,24.41909090909091,0.0
2021-04-12,31.9525,100.48625,2.6350000000000002,8.19125,11.015,2.73875,19.708333333333332,0.41583333333333333,14.2275,0.23416666666666666,,0.2876190476190476,0.42791666666666667,,74.16541666666667,0.46249999999999997,173.09208333333333,328.1557142857143,989.5683333333333,,,25.64125,0.0
