From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm)
2021-09-22,21.39888888888889,71.24222222222221,5.578888888888889,13.95625,19.75111111111111,8.967777777777778,1.6288888888888888,80.60777777777778,0.1411111111111111,187.34888888888887,32.23222222222222,972.7244444444445,33.66888888888889,0.0
2021-09-23,21.909375,42.88956521739131,5.841666666666666,14.555833333333332,20.398333333333333,9.252083333333333,1.4649999999999999,83.90833333333333,0.10666666666666667,125.52291666666667,120.49374999999999,977.6090909090909,34.04291666666666,0.0
2021-09-24,22.655384615384612,38.958333333333336,6.1379166666666665,15.385416666666666,21.524583333333336,7.385833333333333,0.315,80.74083333333333,0.10695652173913044,89.52999999999999,133.45541666666665,977.5331818181818,34.19,0.0
2021-09-25,17.633636363636363,51.11136363636364,5.885454545454545,14.29090909090909,20.17772727272727,7.298181818181818,0.2631818181818182,88.07363636363635,0.12090909090909091,135.81500000000003,95.27363636363636,975.2566666666667,34.31227272727273,0.0
2021-09-26,16.263333333333332,58.607499999999995,5.8425,13.319166666666668,18.98125,7.05,0.73375,79.35041666666666,0.10291666666666667,136.56041666666667,141.5325,978.9713636363635,33.30958333333333,0.0
2021-09-27,23.52777777777778,54.74722222222223,6.21,12.073333333333332,17.773333333333333,8.745416666666666,1.1575,71.81208333333333,0.06478260869565218,73.38625,151.54875,978.6514285714286,33.471666666666664,0.0
2021-09-28,22.542916666666667,68.46,5.837083333333333,10.65,15.895000000000001,9.3225,0.25166666666666665,75.97375,0.09708333333333334,76.51416666666667,136.28125,978.2221739130435,34.010416666666664,0.0
2021-09-29,21.641666666666666,51.80583333333333,6.117083333333333,11.052083333333334,16.411666666666665,8.614583333333334,1.56375,85.39958333333334,0.1366666666666667,157.02291666666667,148.70374999999999,975.5895,34.68958333333333,0.0
2021-09-30,21.02,55.173750000000005,6.153333333333333,10.960416666666667,16.915416666666665,8.338333333333333,0.21333333333333335,81.6075,0.14875,204.03125,159.01708333333332,976.9715,34.85458333333333,0.0
2021-10-01,21.208695652173912,60.10565217391304,7.0249999999999995,11.5225,17.45958333333333,9.370833333333334,0.7379166666666667,77.24916666666667,0.10208333333333335,218.46541666666667,184.95083333333332,976.5666666666667,32.15,0.0
2021-10-02,25.81125,58.38375,6.4366666666666665,11.5725,17.905416666666667,8.959583333333333,0.36791666666666667,82.31708333333333,0.10708333333333332,179.23208333333332,174.62833333333333,978.1834999999999,32.56333333333333,0.0
2021-10-03,21.772727272727273,51.72772727272727,6.2370833333333335,11.540416666666667,17.766666666666666,8.735416666666667,0.9229166666666667,81.41208333333334,0.11125,212.40291666666667,177.6966666666667,976.5557894736843,33.17458333333334,0.0
2021-10-04,21.105416666666667,51.32375,5.970416666666666,11.121249999999998,17.065,9.4375,0.5,83.23166666666667,0.11291666666666667,150.45374999999999,150.86625,978.0400000000001,32.87291666666667,0.0
2021-10-05,20.014583333333334,52.34916666666667,5.587083333333333,10.1975,15.729583333333332,9.022499999999999,0.6708333333333334,86.06708333333334,0.12208333333333334,145.15833333333333,108.17375,978.2818181818183,33.03041666666667,0.0
2021-10-06,31.11521739130435,73.20826086956522,5.99625,11.080833333333333,17.055416666666666,9.088333333333333,1.0441666666666667,80.30166666666666,0.12875,138.17166666666665,136.5425,977.9986363636364,33.92666666666667,0.0
2021-10-07,26.293333333333333,92.76875,6.06625,11.254583333333334,17.320416666666667,8.849583333333333,0.48416666666666663,78.32208333333334,0.12583333333333332,167.71958333333333,145.93416666666667,978.8717391304348,33.53125,0.0
2021-10-08,31.91125,72.86083333333333,5.8275,10.543333333333333,16.18166666666667,8.720416666666667,0.9466666666666667,73.32833333333333,0.11458333333333333,171.17499999999998,178.03916666666666,975.6873684210527,33.222500000000004,0.0
2021-10-09,25.01291666666667,81.895,10.31,13.264166666666666,18.4475,9.117083333333333,1.1029166666666665,66.57708333333333,0.09217391304347826,155.785,182.79833333333332,976.9942105263158,31.83458333333333,0.0
2021-10-10,11.162272727272727,97.55083333333333,8.467083333333333,12.715416666666668,17.65791666666667,9.307083333333333,0.32208333333333333,64.0475,,169.20874999999998,187.51166666666666,977.0872222222222,26.0275,0.0
2021-10-11,39.274166666666666,95.30291666666666,5.702500000000001,12.426250000000001,18.127083333333335,9.18,1.3991666666666667,65.7225,0.126,192.40875000000003,182.80375,976.1722222222221,31.838333333333335,0.0
2021-10-12,27.65875,91.63958333333333,6.345416666666666,13.027916666666668,19.3525,9.485,0.5437500000000001,64.22416666666668,0.13458333333333333,134.01166666666668,179.30875,975.2344444444445,34.05125,0.0
2021-10-13,25.06958333333333,83.59708333333333,6.332083333333333,11.514166666666666,17.540833333333335,9.0375,1.3866666666666667,64.70541666666666,0.1225,181.61374999999998,178.13333333333333,975.6994444444445,33.09666666666667,0.0
2021-10-14,31.758750000000003,93.64708333333334,6.872083333333333,11.94375,18.47375,8.465833333333334,1.7275,66.49875,0.12333333333333334,241.8325,158.1025,977.4865,33.78125,0.0
2021-10-15,28.39833333333333,76.64791666666666,6.632916666666667,11.597499999999998,17.822916666666668,9.572916666666666,0.5866666666666667,75.96416666666667,0.135,175.5225,134.60791666666668,977.5761904761904,35.84916666666667,0.0
2021-10-16,25.58375,44.01333333333333,6.440833333333334,11.611666666666666,17.950833333333332,9.012916666666667,0.5958333333333333,76.71041666666666,0.12458333333333334,114.01458333333333,155.8575,977.6705263157895,35.15416666666667,0.0
