From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s)
2017-11-12,147.105,315.8020833333333,42.11416666666667,25.042916666666667,41.9875,,12.829583333333334,1.5691666666666666,23.59958333333333,0.0,0.84,,,,28.104166666666668,36.677083333333336,0.3458333333333334,110.31916666666666,92.6075,755.3333333333334,0.8675
2017-11-13,152.45000000000002,280.24833333333333,34.22625,28.04041666666667,38.01375,,12.762500000000001,1.2658333333333334,15.002083333333333,0.0,0.7541666666666668,38.96666666666667,6.885,5.245,27.370833333333334,38.11666666666667,0.3725,156.23541666666668,88.1275,756.8604166666668,0.8529166666666667
2017-11-14,150.08124999999998,223.89666666666665,19.472916666666666,29.791666666666668,27.235,,14.777083333333332,1.0445833333333334,22.395416666666666,0.0,0.18166666666666667,,,,26.984166666666667,42.89041666666666,0.5154166666666667,188.43125,82.35125000000001,757.3641666666666,0.8675
2017-11-15,191.13291666666666,221.76083333333335,8.724166666666667,18.862083333333334,12.781666666666666,,13.5575,1.1083333333333334,15.38375,0.0,0.0,31.3875,5.166666666666667,2.76,26.50916666666667,44.34916666666667,0.8366666666666666,225.64208333333332,81.22333333333333,755.81,0.8216666666666667
2017-11-16,146.45374999999999,292.82375,7.623333333333334,19.236666666666668,11.624583333333334,,18.680833333333332,1.35625,45.55375,0.0,0.0,,,,25.345416666666665,47.63083333333333,1.2908333333333333,238.15458333333333,79.47416666666668,753.7987499999999,0.8216666666666667
2017-11-17,131.19041666666666,252.34708333333333,9.477916666666667,15.290416666666665,12.012500000000001,,17.107083333333332,1.14,13.982083333333334,0.0,0.05375,,,,24.77916666666667,49.340833333333336,1.2375,201.84583333333333,70.75041666666667,753.05125,0.8058333333333333
2017-11-18,163.36333333333334,236.41958333333332,12.712083333333332,14.772083333333333,15.142916666666666,,14.706666666666665,0.8770833333333333,15.967916666666667,0.0,0.0,,,,24.08583333333333,48.01958333333334,1.1558333333333335,112.27499999999999,51.895,751.9695833333334,0.7466666666666667
2017-11-19,102.09958333333333,175.86125,14.827916666666667,14.731666666666667,16.857916666666668,,22.56041666666667,0.7645833333333334,12.473333333333334,0.0,0.0,,,,24.334166666666665,37.831250000000004,0.9508333333333333,101.56958333333334,81.25833333333334,751.1391666666667,0.7770833333333332
2017-11-20,79.26333333333334,166.60541666666666,17.157083333333333,16.53,20.137916666666666,,19.166666666666668,0.94875,17.720416666666665,0.0,0.0,,,,24.092916666666667,35.12833333333334,0.8125,116.00041666666668,96.95166666666667,750.4625,0.7691666666666667
2017-11-21,93.44791666666667,198.96666666666667,16.420833333333334,16.852083333333333,19.69333333333333,,13.446666666666667,1.0,25.444166666666664,0.0,0.0,,,,24.058333333333334,34.31375,0.6141666666666666,115.77708333333334,94.78583333333334,751.7291666666666,0.7558333333333334
2017-11-22,95.39958333333334,204.09666666666666,18.413333333333334,19.87125,22.86916666666667,,13.768749999999999,1.0279166666666666,42.36291666666667,0.0,0.0,,,,24.354166666666668,32.594166666666666,0.6495833333333333,116.91708333333334,104.42708333333333,752.4237499999999,0.7591666666666667
2017-11-23,108.00625000000001,233.60125000000002,52.24625,13.855652173913043,45.31625,,14.100416666666668,1.4320833333333332,36.84583333333333,0.0,0.41958333333333336,,,,24.089166666666667,32.46375,0.4116666666666667,92.10333333333334,103.74125,752.9779166666667,0.7679166666666667
2017-11-24,119.88708333333334,276.6383333333333,77.56791666666668,31.95375,71.12416666666667,,13.75125,1.3470833333333332,28.628333333333334,0.0,1.7608333333333335,,1.3933333333333333,,24.717083333333335,32.76291666666667,0.34875000000000006,88.03750000000001,102.11458333333333,752.19875,0.765
