From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),RF (mm)
2021-02-09,126.185,205.0675,8.29375,20.54875,28.8425,26.21125,17.29375,1.84375,2.49,17.53125,21.21625,134.86125,,,,78.45,0.33,139.01714285714286,60.642857142857146,93.71000000000001,0.0
2021-02-10,112.63210526315791,147.78263157894736,7.358421052631579,14.034210526315789,21.393157894736845,20.91,13.43157894736842,1.5978947368421053,4.376315789473685,11.781052631578948,12.067894736842105,110.48,,,,75.47052631578947,0.47105263157894733,176.42473684210526,162.69315789473686,59.02473684210526,0.0
2021-02-11,108.42272727272729,246.7718181818182,13.018571428571429,17.647142857142857,28.28666666666667,21.354285714285712,4.63,1.7413333333333334,5.204285714285715,12.35,9.909333333333333,92.02928571428572,,,,60.98428571428571,0.312,143.1173333333333,280.1,62.73266666666667,0.0
2021-02-12,70.1853846153846,96.77769230769232,7.583157894736843,10.876842105263158,18.026842105263157,23.12842105263158,6.3358823529411765,1.2944444444444445,3.212105263157895,11.654736842105264,14.531578947368422,101.35052631578947,,,,70.29421052631578,0.36157894736842106,167.39473684210526,168.3057894736842,74.0278947368421,0.0
2021-02-13,98.78615384615385,246.32076923076923,33.550000000000004,17.153636363636362,45.45583333333334,45.05444444444444,18.979285714285712,2.024,3.970714285714286,15.268666666666666,14.744666666666667,107.42714285714285,,,,59.585,0.33285714285714285,184.57785714285714,225.59,73.54133333333333,0.0
2021-02-14,110.77999999999999,177.84875,15.905416666666667,13.938333333333333,29.84375,28.270833333333332,21.995,2.1945833333333336,3.950416666666667,18.845,18.175,115.195,,,,69.86125,0.2354166666666667,180.21291666666664,196.8958823529412,86.48916666666666,0.0
2021-02-15,86.29166666666667,175.0225,14.317083333333334,13.659583333333332,27.978333333333335,29.906666666666666,21.142500000000002,1.83875,2.7729166666666667,15.835833333333333,17.07166666666667,108.27416666666666,,,,67.87708333333333,0.31416666666666665,151.45583333333335,169.81199999999998,84.04375,0.0
2021-02-16,67.94541666666667,132.25458333333333,11.429583333333333,12.551666666666668,23.980416666666667,29.286666666666665,18.173333333333336,1.1958333333333333,3.3029166666666665,13.538333333333334,15.6725,97.8725,,,,61.82791666666666,0.32583333333333336,181.84625000000003,180.3915,76.71958333333333,0.0
2021-02-17,65.72916666666667,139.73583333333332,4.824583333333334,12.686250000000001,17.513749999999998,32.121249999999996,17.161666666666665,1.11125,3.2587500000000005,12.802083333333334,12.67875,79.98666666666666,,,,60.864583333333336,0.25375,157.145,176.4735,62.43083333333333,0.0
2021-02-18,62.100833333333334,151.54625000000001,18.350416666666664,11.910416666666668,30.257916666666663,27.84391304347826,17.877083333333335,1.0479166666666666,3.5775,11.627083333333333,12.551250000000001,76.32458333333334,,,,58.22291666666666,0.33916666666666667,173.15583333333333,207.50777777777776,58.39208333333334,0.0
2021-02-19,59.182105263157894,105.2,5.780526315789474,11.221052631578948,15.383809523809523,29.49842105263158,14.165263157894737,0.7180952380952381,4.462105263157895,9.257619047619048,9.457142857142857,66.38368421052631,,,,56.79684210526316,0.3589473684210526,185.71473684210525,208.4372222222222,47.151428571428575,0.0
2021-02-20,63.24458333333333,122.29791666666667,2.659047619047619,14.430909090909092,15.408333333333333,37.614583333333336,17.509583333333335,0.8537500000000001,3.4158333333333335,10.973333333333334,9.982916666666666,69.50083333333333,,,,56.565416666666664,0.38916666666666666,181.1825,100.0959090909091,54.68,0.0
2021-02-21,94.7075,174.96916666666667,5.280833333333333,15.084166666666667,20.365833333333335,34.599583333333335,22.783749999999998,1.2091666666666667,4.190416666666667,7.995,6.152916666666666,68.82266666666666,,,,61.510416666666664,0.3575,171.14958333333334,218.40470588235294,34.74,0.0
2021-02-22,67.50714285714287,128.16,5.2573684210526315,17.062105263157896,18.928571428571427,33.346315789473685,13.324000000000002,0.9740909090909091,3.019047619047619,1.5981818181818184,0.5659090909090909,51.60666666666666,,,,64.86045454545454,0.5390909090909091,197.91863636363635,120.65619047619049,3.7736363636363635,0.0
2021-02-23,16.98,20.27,,,0.0,,17.945,0.36000000000000004,2.975,2.85,2.7533333333333334,50.12,,,,91.75,0.555,94.08500000000001,163.385,12.219999999999999,0.0
2021-02-24,41.78,212.054,6.420000000000001,13.65,7.781428571428571,44.163333333333334,51.730000000000004,0.40857142857142853,2.7880000000000003,,2.0114285714285716,,,,11.126666666666667,54.97833333333333,0.4033333333333333,210.74,1.7433333333333332,,0.0
2021-02-25,31.24909090909091,63.88454545454545,2.58,8.856666666666667,10.442173913043478,56.30238095238095,45.65714285714286,0.36916666666666664,6.734285714285714,,6.2825,,,,9.243913043478262,67.15260869565218,0.6417391304347826,237.59695652173914,150.78636363636363,,0.0
2021-02-26,27.159473684210525,33.07666666666667,0.760909090909091,6.270769230769231,4.73,47.29916666666667,20.43625,0.3925,4.116086956521739,,7.4025,,,,8.063333333333334,80.32375,0.7420833333333333,199.18434782608693,88.2325,,0.0008333333333333334
2021-02-27,,8.727777777777778,3.754,18.0875,6.967692307692308,30.032,29.055,0.3273684210526316,8.608333333333333,,3.8468421052631583,,,,2.6522222222222225,94.36666666666666,0.958888888888889,282.39444444444445,50.31055555555555,,0.006315789473684211
