From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),RF (mm),AT (degree C)
2022-03-11,48.285714285714285,157.07142857142858,8.675714285714287,24.59,20.124285714285715,54.99571428571428,14.352857142857143,0.6457142857142857,21.50857142857143,4.031428571428571,0.35285714285714287,0.34285714285714286,4.502857142857143,8.581428571428571,45.07142857142857,0.9114285714285714,122.21428571428571,16.928571428571427,,0.0,28.044285714285714
2022-03-12,89.51041666666667,198.57291666666666,10.272916666666667,29.274583333333336,23.921666666666667,58.13291666666667,18.695,0.7508333333333334,28.12,3.905,0.33666666666666667,0.1838095238095238,4.34125,9.71375,47.822916666666664,1.3070833333333334,121.41666666666667,133.78125,,0.0,27.952916666666667
2022-03-13,79.77083333333333,174.64583333333334,8.360833333333334,27.345416666666665,21.332083333333333,62.57458333333333,18.044999999999998,0.8195833333333334,24.439999999999998,5.045416666666667,0.6525,0.24291666666666667,5.629166666666666,13.548333333333332,47.625,0.98875,153.6875,135.05208333333334,,0.0,28.500416666666666
2022-03-14,69.47916666666667,167.96875,8.537083333333333,25.257499999999997,20.37666666666667,69.60541666666667,15.871666666666668,0.7620833333333333,28.83,4.2825,0.6458333333333334,0.2816666666666667,4.7025,11.582083333333332,44.84375,0.9854166666666666,179.91333333333333,133.22916666666666,,0.0,29.227083333333336
2022-03-15,94.28125,208.45833333333334,9.293750000000001,27.4725,22.168333333333333,72.78375,18.462083333333332,0.8133333333333334,29.784583333333334,3.875833333333333,0.49,0.32055555555555554,4.508333333333334,9.588333333333333,48.78125,1.2279166666666665,146.3125,135.20833333333334,,0.0,29.37875
2022-03-16,79.47916666666667,189.46875,8.404583333333333,23.359166666666667,19.257916666666667,62.574999999999996,19.910416666666666,0.7429166666666666,28.885,3.4091666666666662,0.2041666666666667,0.35533333333333333,4.142916666666666,6.715,49.1875,1.4779166666666665,109.66666666666667,144.15625,,0.0,29.836250000000003
2022-03-17,98.3125,211.41666666666666,10.7575,28.234583333333333,23.767916666666665,71.56541666666666,19.610416666666666,0.88625,28.53708333333333,3.390416666666667,0.39458333333333334,0.13315789473684211,3.9258333333333333,9.412916666666666,43.583333333333336,1.6445833333333333,264.5,135.29166666666666,,0.0,30.37291666666667
2022-03-18,116.52083333333333,206.35083333333333,6.94125,17.44625,14.9275,94.7575,14.46375,1.0166666666666666,30.96291666666667,3.3375,0.6741666666666667,0.24117647058823533,5.41375,11.924583333333333,51.763749999999995,1.2175,228.78458333333333,126.85416666666667,,0.0,30.680000000000003
2022-03-19,93.16666666666667,188.48333333333332,6.1706666666666665,17.1,14.054666666666666,88.95599999999999,13.176666666666668,0.8026666666666666,60.202,1.422,0.19066666666666665,0.12666666666666668,1.4046666666666667,6.726,39.9,1.256,178.06666666666666,205.42307692307693,,0.0,31.387999999999998
2022-03-20,53.55916666666667,120.69791666666667,6.59375,10.081249999999999,10.71125,64.16416666666667,13.38125,0.5833333333333334,41.10958333333333,1.41375,0.17541666666666667,0.1576923076923077,1.73375,5.734166666666667,34.041666666666664,1.8504166666666666,185.78125,183.93055555555554,,0.0,30.88083333333333
2022-03-21,50.145833333333336,138.85416666666666,6.829583333333333,15.18125,13.602916666666667,41.753750000000004,15.907916666666667,0.5045833333333333,36.558749999999996,1.3345833333333335,0.065,0.16125,1.3458333333333332,3.8229166666666665,31.416666666666668,1.8079166666666666,147.42708333333334,151.86458333333334,,0.0,30.715416666666666
2022-03-22,62.260416666666664,173.3125,8.155416666666666,20.214166666666667,17.361666666666668,49.088750000000005,17.91875,0.5991666666666667,29.110833333333332,1.95625,0.17041666666666666,0.36333333333333334,1.6141666666666667,5.697083333333333,36.15625,1.6945833333333333,120.89583333333333,150.26041666666666,,0.0,29.625416666666666
2022-03-23,74.64583333333333,212.88541666666666,10.988333333333335,26.413749999999997,22.961249999999996,57.63125,19.126250000000002,0.67625,26.87708333333333,2.9324999999999997,0.33666666666666667,0.09384615384615384,2.3325,9.29875,35.260416666666664,1.3029166666666667,145.60416666666666,147.40625,,0.0,30.11125
2022-03-24,45.385416666666664,154.92708333333334,7.570833333333333,12.419583333333334,12.76,60.246249999999996,11.489166666666668,0.4145833333333333,37.28875,2.1891666666666665,0.08708333333333333,0.06222222222222223,1.4475,5.024166666666667,23.03125,1.915,187.85416666666666,131.65625,,0.0,30.515833333333333
2022-03-25,47.239583333333336,162.11458333333334,8.98875,18.267083333333332,16.999583333333334,57.67458333333334,12.066249999999998,0.4216666666666667,31.471666666666668,2.1770833333333335,0.08750000000000001,0.16666666666666666,1.52625,5.2124999999999995,25.697916666666668,1.75125,129.03125,154.73958333333334,,0.0,29.9675
2022-03-26,72.23958333333333,199.41666666666666,9.772499999999999,29.0275,23.38291666666667,57.024166666666666,13.8375,0.63875,28.984583333333333,2.8854166666666665,0.20375,0.09333333333333334,1.8679166666666667,9.804583333333333,34.635416666666664,1.38,137.89583333333334,156.46875,,0.0,29.448333333333334
2022-03-27,82.79166666666667,202.15958333333333,9.59125,25.35625,21.232916666666664,58.15083333333333,13.90125,0.7000000000000001,27.730833333333333,3.315,0.2654166666666667,0.14800000000000002,2.2808333333333333,11.244166666666667,27.85083333333333,1.3845833333333333,136.97208333333333,163.80916666666667,,0.0,30.447916666666668
