From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3)
2010-01-01,,,21.225833333333334,37.21875,37.052083333333336,,4.2425,4.362222222222222,17.8125,
2010-01-02,,,34.86,46.104166666666664,52.739583333333336,,2.30125,5.026666666666666,9.645833333333334,
2010-01-03,,,15.107916666666668,26.927083333333332,26.572916666666668,,1.7904166666666665,7.094705882352941,11.90625,
2010-01-04,,,5.665416666666666,8.898695652173913,9.197916666666666,,0.48,3.0179166666666664,17.15625,
2010-01-05,,,50.41166666666666,52.614583333333336,68.90958333333333,,1.6400000000000001,8.86125,25.552083333333332,
2010-01-06,,,79.09375,82.94791666666667,108.42708333333333,,4.365,8.784166666666666,27.052083333333332,
2010-01-07,,,25.89625,35.479166666666664,39.9375,,6.622631578947368,3.644761904761905,16.8125,
2010-01-08,,,11.804583333333333,21.010416666666668,20.71875,,10.365833333333333,6.297,5.9375,
2010-01-09,,,7.5675,14.614583333333334,13.882083333333334,,6.54375,1.7969565217391303,13.322916666666666,
2010-01-10,,,9.97625,15.992916666666666,16.614583333333332,,5.745416666666666,2.445,11.479166666666666,
2010-01-11,,,13.072083333333333,21.239583333333332,21.947916666666668,,5.7625,3.0455,18.510416666666668,
2010-01-12,,,30.6925,63.333333333333336,58.541666666666664,,7.4558333333333335,5.818,19.104166666666668,
2010-01-13,,,27.971176470588233,52.588235294117645,50.75,,12.498235294117647,3.9899999999999998,14.661764705882353,
2010-01-14,,,,,,,,,,
2010-01-15,,,,,,,,,,
2010-01-16,,,,,,,,,,
2010-01-17,,,45.73333333333333,65.08333333333333,71.70833333333333,,12.469999999999999,3.655,14.0,
2010-01-18,,,28.866666666666664,60.229166666666664,55.5,,12.676250000000001,2.773846153846154,17.697916666666668,
2010-01-19,,,30.09,55.40625,53.916666666666664,,11.365416666666667,6.709166666666667,23.614583333333332,
2010-01-20,,,41.7325,63.072916666666664,67.44791666666667,,14.97375,20.39428571428571,19.666666666666668,
2010-01-21,,,50.58208333333334,82.40625,84.83333333333333,,13.744166666666667,5.226666666666667,12.40625,
2010-01-22,,,60.937916666666666,93.40625,99.22916666666667,,21.62,6.503333333333333,4.84375,
2010-01-23,,,60.86416666666667,91.22916666666667,97.98958333333333,,18.453333333333333,3.3583333333333334,6.375,
2010-01-24,,,48.07875000000001,71.6875,77.21875,,18.660416666666666,3.650434782608696,8.25,
2010-01-25,,,,,,,,,,
2010-01-26,,,,,,,,,,
2010-01-27,,,,,,,,,,
2010-01-28,,,,,,,,,,
2010-01-29,,,,,,,,,,
2010-01-30,,,,,,,,,,
2010-01-31,,,,,,,,,,
2010-02-01,,,,,,,,,,
2010-02-02,,,,,,,,,,
2010-02-03,,,,,,,,,,
2010-02-04,,,,,,,,,,
2010-02-05,,,,,,,,,,
2010-02-06,,,,,,,,,,
2010-02-07,,,,,,,,,,
2010-02-08,,,20.012500000000003,46.3125,40.90625,,7.07,11.3625,11.09375,
2010-02-09,,,31.256666666666664,51.927083333333336,53.020833333333336,,2.034090909090909,5.258333333333334,13.458333333333334,
2010-02-10,,,18.215833333333332,36.052083333333336,34.010416666666664,,2.8212499999999996,9.774615384615384,12.229166666666666,
2010-02-11,,,18.644166666666667,51.395833333333336,42.447916666666664,,3.88875,7.992916666666667,22.135416666666668,
2010-02-12,,,42.97333333333333,75.86458333333333,75.32291666666667,,11.226521739130433,2.8058333333333336,16.166666666666668,
2010-02-13,,,58.785,80.47916666666667,90.58333333333333,,9.424999999999999,4.2225,18.53125,
2010-02-14,,,8.380526315789472,36.94736842105263,26.473684210526315,,1.7055555555555555,5.464210526315789,40.6578947368421,
2010-02-15,,,63.533125,104.53125,107.234375,,12.21625,,10.4375,
2010-02-16,,,89.11541666666666,119.66666666666667,136.125,,18.849166666666665,,11.0,
2010-02-17,135.85416666666666,,33.257083333333334,59.041666666666664,58.46541666666667,,6.560416666666666,25.195000000000004,24.739583333333332,
2010-02-18,135.6875,,14.439166666666667,43.364583333333336,34.802083333333336,,1.3923809523809523,2.22,34.989583333333336,
2010-02-19,183.97222222222223,,15.502222222222223,46.69444444444444,37.458333333333336,,3.2494444444444444,1.903529411764706,39.263888888888886,
2010-02-20,,,,,,,,,,
2010-02-21,,,,,,,,,,
2010-02-22,,,,,,,,,,
2010-02-23,,,,,,,,,,
2010-02-24,,,,,,,,,,
2010-02-25,,,,,,,,,,
2010-02-26,,,,,,,,,,
2010-02-27,,,,,,,,,,
2010-02-28,,,,,,,,,,
2010-03-01,,,,,,,,,,
2010-03-02,83.875,,6.673,36.2,24.725,,2.853,1.5566666666666666,41.825,
2010-03-03,129.05208333333334,,18.02958333333333,53.416666666666664,43.145833333333336,,8.493478260869566,2.2736842105263158,38.708333333333336,
2010-03-04,201.66666666666666,,39.34666666666667,80.23958333333333,74.65625,,12.190833333333332,5.4338461538461535,37.927083333333336,
2010-03-05,84.88541666666667,,9.01375,31.520833333333332,24.114583333333332,,14.722,3.06,30.03125,
2010-03-06,112.66666666666667,,25.382499999999997,57.625,51.270833333333336,,7.545555555555556,4.272352941176471,32.458333333333336,
2010-03-07,81.17708333333333,,4.534583333333333,8.375,7.789130434782609,,1.6928571428571428,2.1475,39.041666666666664,
2010-03-08,90.07291666666667,,3.422083333333333,5.881764705882354,6.671052631578948,,1.7571428571428573,1.5290000000000001,41.614583333333336,
