From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C),Xylene (ug/m3),RF (mm)
2012-01-22,,,15.553043478260872,60.541666666666664,75.99291666666666,70.28875000000001,1.1083333333333334,67.76458333333333,0.0,0.0,,,,24.47666666666667,7.620833333333334,11.58625,49.39041666666666,947.81625,0.5,20.379166666666666,0.0,
2012-01-23,,,2.861666666666667,67.515,70.89375,56.625,0.31666666666666665,48.415416666666665,0.0,0.0,,,,25.32541666666667,7.84125,12.902500000000002,57.589166666666664,953.92625,0.5,21.733333333333334,0.0,
2012-01-24,,,9.327619047619047,65.96826086956521,75.00434782608696,75.28869565217391,0.8334782608695653,49.83782608695652,0.0,0.0,,,,24.729130434782608,7.778260869565218,12.474782608695653,56.49826086956522,948.721304347826,0.5,21.55217391304348,0.0,
2012-01-25,,,4.617083333333333,60.922083333333326,66.0675,83.34583333333333,0.72375,60.35208333333333,0.0,0.0,,,,26.97875,7.833333333333333,12.035833333333334,54.39958333333333,944.8254166666667,0.5,22.7375,0.0,
2012-01-26,,,1.8165,46.66833333333333,48.75,49.33375,0.5270833333333333,73.42833333333333,0.0,0.0,,,,24.069999999999997,7.8379166666666675,13.034166666666666,58.537499999999994,952.2583333333333,0.5,22.504166666666666,0.0,
2012-01-27,,,2.4875000000000003,57.13625,60.135,54.577916666666674,0.5750000000000001,66.79708333333333,0.0,0.0,,,,27.92,7.828749999999999,12.919583333333334,57.73166666666666,948.1658333333334,0.5,21.85875,0.0,
2012-01-28,,,1.1831818181818181,49.83166666666667,51.42625,37.9975,0.4979166666666666,79.41541666666667,0.0,0.0,,,,20.78291666666667,7.714583333333334,13.101666666666667,62.4375,948.3425000000001,0.5,21.430833333333336,0.0,
2012-01-29,,,3.5920833333333335,59.87291666666667,63.9625,49.72208333333333,0.6916666666666668,60.75833333333333,0.0,0.0,,,,24.900000000000002,7.783333333333334,13.009166666666665,57.74166666666667,953.1220833333333,0.5,20.786666666666665,0.0,
2012-01-30,,,4.512083333333334,64.35541666666667,69.33125,79.88541666666667,0.6754166666666667,64.25500000000001,0.0,0.0,,,,28.141666666666666,7.845416666666666,12.7975,56.150416666666665,957.6833333333334,0.5,21.124583333333334,0.0,
2012-01-31,,,3.906470588235294,71.87941176470588,76.28647058823529,78.16294117647058,0.8688235294117647,49.24823529411765,0.0,0.0,,,,23.801176470588235,7.324705882352941,6.910588235294118,10.82,967.2047058823529,0.5,20.290588235294116,0.0,
2012-02-01,,,2.555,54.73333333333333,57.78541666666666,49.48041666666666,0.4695833333333333,73.97458333333333,0.0,0.0,,,,18.36916666666667,7.829583333333333,13.239583333333334,63.19875,968.9379166666666,0.5,21.363333333333333,0.0,
2012-02-02,,,10.315652173913042,54.57875000000001,64.98166666666667,48.5975,0.9279166666666666,77.3725,0.0,0.0,,,,22.00583333333333,7.84875,13.507083333333334,60.71541666666667,963.2766666666666,0.5,21.844583333333333,0.0,
2012-02-03,,,1.3853333333333333,42.75333333333334,44.42388888888889,60.12111111111111,0.3483333333333334,89.40166666666667,0.0,0.0,,,,22.950555555555557,8.066666666666666,15.174444444444443,78.08944444444444,957.6005555555556,0.5,23.188333333333333,0.0,
2012-02-04,,,25.631428571428575,58.527142857142856,84.67714285714285,22.574285714285715,1.1642857142857144,19.694285714285716,0.0,0.0,,,,31.72142857142857,7.632857142857143,6.365714285714286,4.12,945.8642857142858,0.5,25.057142857142857,0.0,
2012-02-05,,,8.975833333333332,43.053333333333335,52.54750000000001,40.195,0.5070833333333333,63.35958333333334,0.0,0.0,,,,26.954583333333332,8.00625,13.220416666666667,58.69041666666667,952.7925,0.5,23.7325,0.0,
