From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),AT (degree C),RF (mm)
2019-08-27,27.976666666666667,36.556666666666665,1.272,3.568,1.388,3.654,4.978,0.341,32.465999999999994,0.3,,0.28500000000000003,0.493,,,,,,,,,,0.0
2019-08-28,18.492727272727272,27.240454545454543,1.28375,3.502083333333333,1.3187499999999999,3.642916666666667,5.184166666666667,0.29625,28.636666666666667,0.22458333333333333,0.6684615384615384,0.29291666666666666,0.5333333333333333,0.29230769230769227,,,,,,,,,0.0
2019-08-29,17.700833333333332,25.112083333333334,1.3333333333333333,3.5420833333333337,1.2858333333333334,3.6300000000000003,5.855,0.3120833333333333,33.565416666666664,0.10958333333333332,0.5558333333333333,0.31,0.5520833333333334,0.20227272727272727,,,,,,,,,0.0
2019-08-30,17.4475,25.368333333333336,1.3104166666666666,3.487083333333333,1.2679166666666666,3.65,5.9750000000000005,0.33791666666666664,27.602083333333336,0.09125,0.16624999999999998,0.2521052631578947,0.46208333333333335,0.26333333333333336,,,,,,,,,0.0
2019-08-31,16.875416666666666,25.16333333333333,1.3175000000000001,3.5354166666666664,1.2970833333333334,3.643333333333333,5.842083333333334,0.29458333333333336,22.01291666666667,0.18666666666666668,0.19291666666666665,0.3279166666666667,0.44249999999999995,0.21125000000000002,,,,,,,,,0.0
2019-09-01,8.976666666666667,14.115555555555554,1.30875,3.5208333333333335,1.3008333333333333,3.6291666666666664,5.769583333333333,0.22791666666666666,29.620416666666667,0.10041666666666667,0.7454166666666667,0.1817391304347826,0.28833333333333333,0.15208333333333332,,,,,,,,,0.0
2019-09-02,914.645,985.0,1.3175000000000001,3.6058333333333334,1.3641666666666667,3.6300000000000003,5.564583333333334,0.2275,27.87125,0.14291666666666666,0.975,0.18333333333333335,0.31333333333333335,0.16375,,,,,,,,,0.0
2019-09-03,917.7666666666668,985.0,1.2541666666666667,3.5545833333333334,1.4075,3.641666666666667,5.5375000000000005,0.18625,25.353333333333335,0.13125,0.88,0.13571428571428573,0.25875,0.13375,,,,,,,,,0.0
2019-09-04,257.76866666666666,345.52066666666667,1.2816666666666667,3.6279166666666662,1.4370833333333335,3.6629166666666664,5.119583333333334,0.28958333333333336,18.660833333333333,0.27458333333333335,1.4495833333333332,0.2225,0.6695833333333333,0.24,,,,,,,,,0.0
2019-09-05,8.077727272727273,13.925652173913045,1.2470833333333333,3.5904166666666666,1.4483333333333333,3.6366666666666667,4.984583333333333,0.2554166666666667,20.975833333333334,0.23083333333333333,1.2841666666666667,0.17791666666666664,0.5945833333333334,0.21375,,,,,,,,,0.0
2019-09-06,8.305652173913044,16.47826086956522,1.215,3.5399999999999996,1.4479166666666667,3.6533333333333338,4.929166666666666,0.28375,18.706666666666667,0.3183333333333333,1.3345833333333335,0.2125,0.5779166666666666,0.2325,,,,,,,,,0.0
2019-09-07,4.06,8.978095238095237,1.2329166666666667,3.55875,1.4400000000000002,3.6425,5.007916666666667,0.1775,25.197916666666668,0.135,0.7870833333333334,0.11521739130434783,0.34791666666666665,0.13541666666666666,,,,,,,,,0.0
2019-09-08,4.133,8.320869565217391,1.2608333333333333,3.5829166666666663,1.4233333333333331,3.645,5.109583333333333,0.17166666666666666,29.130416666666665,0.12833333333333333,0.77875,0.12142857142857144,0.33958333333333335,0.14125000000000001,,,,,,,,,0.0
2019-09-09,4.888947368421053,10.389130434782608,1.2204166666666667,3.5354166666666664,1.43875,3.6520833333333336,5.135416666666667,0.20541666666666666,29.770416666666666,0.15416666666666667,0.8154166666666667,0.10833333333333334,0.37083333333333335,0.1425,,,,,,,,,0.0
2019-09-10,10.055,16.4065,1.2085714285714286,3.523333333333333,1.4404761904761905,3.643809523809524,5.504761904761905,0.23809523809523808,30.204761904761902,0.19,0.8314285714285715,0.163,0.42952380952380953,0.19263157894736843,,,,,,,,,0.0
2019-09-11,11.497142857142856,19.63695652173913,1.29,3.54625,1.3491666666666668,3.645,6.124583333333334,0.29250000000000004,23.9025,0.23958333333333334,0.6991666666666667,0.20636363636363636,0.435,0.23090909090909092,,,,,,,,,
2019-09-12,5.641304347826087,10.64875,1.2979166666666666,3.516666666666667,1.3333333333333333,3.645,5.639583333333333,0.23625,24.009583333333335,0.16708333333333333,1.0125,0.17217391304347826,0.4066666666666667,0.19416666666666668,,,,,,,,,
2019-09-13,7.864545454545455,13.845217391304347,1.2695833333333333,3.6033333333333335,1.4404166666666667,3.643333333333333,5.125416666666667,0.32625,23.49416666666667,0.27875,1.1849999999999998,0.19499999999999998,0.5679166666666667,0.23625,,,,,,,,,
2019-09-14,6.217083333333334,13.43125,1.1745833333333333,3.4883333333333333,1.4554166666666666,3.63625,5.232083333333333,0.16291666666666668,36.22083333333333,0.10166666666666667,0.4404166666666667,0.07090909090909091,0.19347826086956524,0.09142857142857143,,,,,,,,,
2019-09-15,8.435217391304347,16.328260869565216,1.2333333333333334,3.579166666666667,1.45875,3.6420833333333333,5.272916666666666,0.18333333333333335,41.38458333333333,0.12125000000000001,0.49041666666666667,0.08666666666666667,0.229,0.10785714285714286,,,,,,,,,
