From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),CH4 (ug/m3),NMHC (),THC (ug/m3)
2015-09-12,126.2809090909091,,2.750909090909091,8.898181818181818,6.29,,1.219090909090909,0.9733333333333333,5.661818181818182,,5.720000000000001,,,0.16,30.263636363636365,66.94818181818181,2.230909090909091,269.67454545454547,289.0345454545455,1013.348,0.34727272727272723,,,
2015-09-13,42.64083333333333,,2.48,7.303333333333334,5.2,,2.0675,3.9066666666666667,7.343333333333334,,3.025,2.9,3.32,2.8966666666666665,31.314166666666665,74.42,2.308333333333333,287.2025,236.11,1015.0083333333333,0.3633333333333333,,,
2015-09-14,60.640952380952385,,2.366190476190476,5.5738095238095235,4.102857142857142,,1.1915,0.430952380952381,6.248571428571428,,2.98,,,1.76,29.42,79.17904761904762,2.3871428571428575,281.51761904761906,123.56666666666668,1015.3642857142858,0.3661904761904762,,,
2015-09-15,64.12833333333333,,2.3699999999999997,4.739166666666667,3.7575000000000003,,1.7325,0.8639130434782609,7.81,,1.96,3.135,3.9899999999999998,2.8466666666666662,29.099999999999998,81.2625,2.455833333333333,281.9479166666667,161.32500000000002,1012.9429166666667,0.3658333333333333,,,
2015-09-16,77.51083333333334,,2.672083333333333,6.166250000000001,4.7625,,1.7129166666666666,0.935,7.515833333333333,,7.779999999999999,,,0.3,29.904583333333335,77.03291666666667,2.4274999999999998,288.32125,194.52583333333334,1009.3991666666667,0.36541666666666667,,,
2015-09-17,95.54947368421053,,2.3230434782608698,5.293913043478261,3.862173913043478,,1.6891304347826088,0.9647826086956522,7.3191304347826085,,2.23,,,,29.323478260869567,81.91739130434782,2.31,285.51695652173913,125.36608695652174,1009.1478260869566,0.3639130434782608,,,
2015-09-18,60.55631578947368,,2.3521052631578945,5.4663157894736845,4.020526315789474,,2.0384210526315787,0.9717647058823529,7.8784210526315785,,2.6500000000000004,,,,28.707368421052635,85.0463157894737,2.317894736842105,281.9736842105263,188.25105263157894,1010.8884210526317,0.3652631578947368,,,
2015-09-19,75.1440909090909,,3.027727272727273,6.7309090909090905,5.1045454545454545,,2.514761904761905,0.9022727272727273,6.708181818181819,,3.79,,,,29.728181818181817,83.72181818181818,2.325909090909091,280.86045454545456,211.73545454545456,1011.4872727272727,0.35727272727272724,,,
2015-09-20,47.03285714285714,,4.216666666666667,8.563333333333334,6.473809523809523,,2.3746666666666667,0.9061904761904762,5.650952380952381,,,,,,29.027619047619048,87.37,2.305238095238095,275.95666666666665,127.09142857142858,1012.3419047619047,0.35714285714285715,,,
2015-09-21,149.417,,4.633076923076923,12.804615384615385,9.19153846153846,,2.9138461538461535,1.3091666666666668,8.284615384615385,,6.6659999999999995,,2.67,,31.356923076923074,69.9,2.190769230769231,270.2684615384615,276.0438461538461,1011.6161538461539,0.3507692307692307,,,
2015-09-22,149.44333333333333,,8.74875,12.35217391304348,12.280000000000001,,2.0170833333333333,1.6408695652173915,9.035,18.523333333333333,37.354285714285716,22.956666666666667,53.26666666666667,44.171666666666674,30.8325,73.98791666666666,2.15,264.005,237.19291666666666,1013.6041666666666,0.345,,,
2015-09-23,103.38227272727272,,4.471818181818182,12.44,8.735909090909091,,2.21,0.889090909090909,15.455454545454545,3.99,6.601999999999999,3.34,6.186666666666667,3.225,31.380454545454544,72.75772727272728,2.1540909090909093,238.00090909090906,173.6559090909091,1015.9572727272728,0.3281818181818182,,,
2015-09-24,50.03071428571428,,2.3535714285714286,9.675714285714287,5.615,,1.8544444444444446,4.056153846153846,16.444615384615386,,4.78,2.4000000000000004,2.95,2.215,32.174285714285716,72.57785714285714,2.150714285714286,225.25571428571428,245.8107142857143,1013.3057142857143,0.34285714285714286,,,
2015-09-25,83.95916666666666,,4.954583333333333,10.967083333333333,9.043333333333333,,2.689166666666667,1.1279166666666667,13.295416666666668,,10.51,,7.565,2.91,30.785,76.24333333333333,2.1633333333333336,267.39,176.72708333333333,1013.9475000000001,0.3408333333333333,,,
2015-09-26,176.26833333333332,,3.3241666666666667,10.195,7.289166666666667,,2.8425,1.4266666666666667,7.068181818181818,,4.874285714285714,1.83,2.763333333333333,1.26,31.376666666666665,75.52833333333332,2.1958333333333333,246.93833333333336,172.49833333333333,1012.2991666666667,0.3425,,,
2015-09-27,67.75142857142858,,2.9992857142857146,9.928571428571429,6.8149999999999995,,1.8585714285714285,0.6492307692307692,7.297692307692308,,1.99,,,,30.766428571428573,79.16357142857143,2.1692857142857145,219.20785714285714,146.87142857142857,1013.0221428571429,0.315,,,
2015-09-28,67.96666666666667,,4.282857142857143,10.865238095238096,8.165714285714287,,8.89,0.7536842105263158,5.494285714285714,,8.616,,3.065,0.29,29.884761904761906,81.43571428571428,2.0985714285714288,223.71761904761902,152.13333333333335,1013.5590476190476,0.3342857142857143,,,
2015-09-29,67.07045454545454,,2.950454545454545,9.050454545454544,6.300454545454546,,6.5063157894736845,0.8563636363636363,8.741818181818182,,6.215,,2.36,,30.514090909090907,79.415,2.1672727272727275,183.34318181818182,126.59045454545456,1011.9395454545454,0.3609090909090909,,,
2015-09-30,87.80095238095238,,5.534,11.585294117647058,8.993157894736843,,3.6799999999999997,1.1885,10.575,,,,,,29.696190476190477,85.35047619047619,2.2114285714285713,181.34238095238095,108.01333333333335,1014.7590476190476,0.3457142857142857,,,
2015-10-01,92.38499999999999,,8.41,34.12333333333333,28.879166666666663,,2.0133333333333336,0.45,7.332727272727272,,4.62,,,,31.03153846153846,79.7523076923077,2.1792307692307693,198.8053846153846,204.89076923076922,1016.093076923077,0.3469230769230769,,,
2015-10-02,62.458181818181814,,13.26909090909091,22.122272727272726,19.151363636363637,,0.7322222222222222,0.33545454545454545,5.023181818181818,,2.34,,,0.15500000000000003,30.50863636363636,82.19636363636363,2.23,267.4777272727273,163.99136363636364,1019.4636363636364,0.34045454545454545,,,
2015-10-03,58.05291666666667,,14.094999999999999,24.4525,21.007916666666667,,0.33749999999999997,0.5291666666666667,5.329583333333333,,3.9579999999999997,,3.36,0.28333333333333327,30.486666666666668,79.83125,2.30375,290.68,170.72458333333336,1020.1175,0.34,,,
2015-10-04,38.1975,,7.944375,15.97125,12.770625,,1.2122222222222223,0.574,2.6473333333333335,,7.178,,,0.255,29.06875,90.578125,2.2125,267.211875,68.143125,1019.573125,0.35375,,,
2015-10-05,124.49318181818181,,5.9247826086956525,14.11695652173913,10.698695652173912,,2.46,0.520909090909091,7.527826086956522,,6.536666666666666,,,,29.042608695652174,87.62217391304348,2.2404347826086957,262.5595652173913,138.04391304347828,1017.5117391304348,0.3517391304347826,,,
2015-10-06,38.785833333333336,,6.226666666666667,14.613333333333335,11.495,,1.5336363636363637,3.3125,9.460833333333333,,5.445,,,2.83,30.67,79.335,2.2516666666666665,263.22166666666664,269.54,1013.88,0.3425,,,
2015-10-07,77.09266666666666,,5.153157894736842,12.88,9.04,,1.119375,0.34,6.992631578947369,,,,,,29.85578947368421,80.25210526315789,2.2557894736842106,266.461052631579,229.98842105263157,1000.7610526315789,0.3410526315789474,,,
2015-10-08,47.407333333333334,,4.933333333333334,14.776,8.788,,4.869333333333333,0.39466666666666667,14.889999999999999,32.26,49.583999999999996,66.5125,69.722,75.4375,30.814,77.07333333333332,2.3913333333333333,275.59133333333335,264.28266666666667,1015.1346666666667,0.3466666666666667,,,
2015-10-09,112.99736842105263,,4.406521739130435,12.767391304347825,8.130869565217392,,1.7508695652173913,0.5882608695652174,8.190434782608696,,2.89,,,,30.04391304347826,81.3991304347826,2.3317391304347828,275.01521739130436,159.11478260869563,1015.8382608695651,0.3508695652173913,,,
2015-10-10,74.748125,,4.128333333333334,13.927777777777777,7.971666666666668,,1.5322222222222222,0.42000000000000004,10.046111111111111,,,,,,29.994444444444444,82.88166666666666,2.251666666666667,271.9222222222222,124.55833333333334,1016.4061111111112,0.3555555555555555,,,
2015-10-11,21.433333333333334,,3.77,14.29,7.265000000000001,,2.685,0.8866666666666667,13.254999999999999,,,,,,32.292500000000004,72.8375,2.14,186.0725,268.685,1016.74,0.3575,,,
2015-10-12,141.70666666666668,,4.825,12.37,8.3225,,1.6524999999999999,0.4745454545454546,11.383333333333333,,3.66,,,,31.385833333333334,73.60583333333334,2.1333333333333333,176.47333333333333,271.21999999999997,1008.7358333333333,0.3525,,,
2015-10-13,60.86333333333334,,3.9406666666666665,12.465333333333335,7.814666666666667,,1.6766666666666667,0.324,10.479285714285714,,4.9575,,,0.24,31.307333333333336,66.90333333333334,2.191333333333333,184.73933333333335,227.238,1019.25,0.354,,,
2015-10-14,100.27866666666667,,3.883157894736842,16.453684210526315,7.540526315789473,,2.2378947368421054,0.9394736842105263,13.526315789473685,,4.7725,,,,30.659473684210525,64.75421052631579,2.166842105263158,181.48,132.52421052631578,1020.8521052631578,0.34842105263157896,,,
2015-10-15,76.0838888888889,,4.351666666666667,14.348888888888887,7.966666666666667,,1.5894444444444444,0.3327777777777778,11.592777777777776,,7.969999999999999,,,0.36,31.151111111111113,64.8261111111111,2.1144444444444446,195.1861111111111,197.31444444444443,1019.7594444444444,0.3461111111111111,,,
2015-10-16,194.1314285714286,,3.996,14.928999999999998,7.614,,2.1670000000000003,0.4925,12.482,,,,,,32.275,65.843,2.1900000000000004,172.474,303.498,1019.109,0.352,,,
2015-10-17,81.33214285714287,,4.212857142857143,13.233571428571429,7.9992857142857146,,1.595,0.37142857142857144,10.507142857142856,,2.8,,,,29.429285714285715,81.92928571428571,2.2,174.27642857142857,95.6,1022.6542857142857,0.3607142857142857,,,
2015-10-18,131.15375,,4.072272727272727,14.096363636363636,7.809545454545455,,1.8122727272727273,1.3130000000000002,11.623636363636363,,,,,,31.031818181818185,75.86272727272727,2.19,171.87136363636364,137.4609090909091,1021.3854545454545,0.3618181818181818,,,
2015-10-19,71.28333333333333,,4.3886666666666665,15.187999999999999,8.040666666666667,,1.7546666666666666,0.455,4.811428571428571,,,,,,30.13266666666667,79.856,2.1853333333333333,170.61066666666665,92.14933333333333,1021.4666666666667,0.36266666666666664,,,
2015-10-20,85.31785714285715,,3.9907142857142857,14.757857142857144,7.552142857142857,,1.6942857142857142,1.0846153846153845,9.992307692307692,,,,,,30.714285714285715,78.32285714285715,2.2114285714285713,177.13357142857143,97.32214285714285,1017.5,0.3828571428571429,,,
2015-10-21,53.93090909090909,,11.985999999999999,13.910625,13.3325,,4.746666666666667,3.8526666666666665,9.49625,68.4425,49.8875,49.73,35.82,53.0125,32.125,65.36125,2.18,173.820625,230.975625,1016.08625,0.36,,,
2015-10-22,86.213,,3.681,13.304499999999999,7.960500000000001,,1.3566666666666667,3.167,16.5165,,,,1.04,0.96,28.965999999999998,66.44449999999999,2.145,171.163,123.91400000000002,1012.533,0.344,,,
2015-10-23,52.37380952380952,,2.452857142857143,11.693809523809524,6.305714285714286,,1.6395238095238096,0.9147619047619048,14.78047619047619,,,,,,27.801428571428573,53.755714285714284,2.133809523809524,172.01047619047617,189.3709523809524,1017.8390476190476,0.3323809523809524,,,
2015-10-24,68.16833333333334,,1.935,11.055,5.208636363636364,,1.6172727272727272,0.3161904761904762,12.344999999999999,,,,,,27.444999999999997,63.128181818181815,2.183181818181818,167.87636363636364,154.84636363636363,1018.0554545454546,0.345,,,
2015-10-25,73.24583333333334,,1.54125,8.78625,4.2525,,1.4808333333333332,0.34958333333333336,15.426666666666668,,,,,,26.965,66.28791666666667,2.2295833333333333,171.87416666666664,189.45833333333334,1020.1016666666666,0.35791666666666666,,,
2015-10-26,63.622,,3.680769230769231,10.242142857142857,7.463571428571429,,1.7321428571428572,0.7976923076923078,21.43642857142857,3.25,,,,1.35,26.672142857142855,72.37428571428572,2.1478571428571427,173.38357142857143,102.63357142857144,1020.8407142857143,0.35428571428571426,,,
2015-10-27,98.95666666666666,,6.898888888888888,15.855555555555554,14.482222222222223,,2.58,0.8325,10.38111111111111,,1.124,,1.18,,28.333333333333332,63.522222222222226,2.118888888888889,175.22555555555556,128.91444444444446,1020.88,0.3466666666666667,,,
2015-10-28,39.01695652173913,,3.391739130434783,10.107826086956521,8.718260869565217,,2.572173913043478,2.341818181818182,15.880434782608695,,,,,1.24,26.894782608695653,76.77869565217392,2.195217391304348,174.4491304347826,132.6978260869565,1020.0160869565217,0.34652173913043477,,,
2015-10-29,129.11375,,3.2576190476190474,8.699523809523809,7.35047619047619,,2.9795,1.8038888888888889,17.711904761904762,,,,1.356,1.7233333333333334,27.19380952380952,74.99428571428572,2.125238095238095,189.44142857142856,105.37809523809524,1018.4571428571428,0.33571428571428574,,,
2015-10-30,99.62,,3.626470588235294,12.939411764705882,7.631764705882354,,1.67,0.1742857142857143,13.731764705882354,,,,,,27.34058823529412,76.27411764705883,2.1482352941176472,173.84588235294117,162.5894117647059,1016.7799999999999,0.3264705882352941,,,
2015-10-31,22.2525,,3.499166666666667,11.9625,7.915833333333333,,1.6316666666666666,0.5772727272727273,19.203333333333333,,,,,,28.145833333333332,69.2725,2.2058333333333335,173.48333333333335,153.84833333333333,1017.2125,0.3566666666666667,,,
2015-11-01,113.03238095238095,,2.3260869565217392,7.568260869565217,4.926086956521739,,1.8,0.5609090909090909,15.166086956521738,,,,,,26.894782608695653,80.87478260869565,2.217391304347826,179.19565217391303,110.78695652173913,1018.1365217391304,0.3443478260869565,,,
2015-11-02,36.49708333333333,,5.81375,9.978333333333333,8.707083333333333,,1.5066666666666666,0.6070833333333333,12.525416666666667,,,,,,26.747500000000002,81.23625,2.1275,205.0475,132.64416666666668,1020.0141666666667,0.3225,,,
2015-11-03,18.906,,1.8525,11.188333333333333,4.493333333333333,,1.5999999999999999,2.013333333333333,7.973333333333333,,,,,,25.929999999999996,85.93666666666667,2.098333333333333,241.00333333333333,88.83333333333333,1024.6433333333332,0.275,,,
2015-11-04,20.993333333333332,,4.607,10.818095238095239,7.888571428571429,,1.4591666666666667,1.2673684210526315,29.58857142857143,,,,,,26.33238095238095,83.81380952380952,2.103809523809524,214.82714285714286,104.30857142857143,1019.7904761904762,0.27285714285714285,,,
2015-11-05,37.31842105263158,,8.526,16.1385,13.1585,,4.7299999999999995,0.4757894736842106,13.677000000000001,,,,,,26.781,76.26599999999999,2.112,175.16649999999998,105.15650000000001,1020.1229999999999,0.2755,,,
2015-11-06,36.12642857142857,,4.411,13.143,8.993500000000001,,1.6535,0.5589999999999999,12.5525,,,,,,27.073500000000003,74.985,2.146,168.405,182.036,1018.086,0.2735,,,
2015-11-07,25.186666666666664,,4.208181818181818,13.248636363636365,9.000909090909092,,1.5754545454545457,0.600952380952381,13.09772727272727,,,,,,26.849545454545456,72.72,2.1418181818181816,172.57863636363638,133.42000000000002,1018.7950000000001,0.26772727272727276,,,
2015-11-08,42.73791666666667,,3.720833333333333,12.147083333333333,8.260416666666666,,1.4408333333333332,0.7155,14.218333333333334,14.415555555555557,37.93625,175.32714285714286,28.907142857142855,0.76,26.685833333333335,73.14791666666666,2.1495833333333336,175.6520833333333,115.855,1018.6779166666666,0.2754166666666667,,,
2015-11-09,50.98133333333333,,5.080588235294118,13.951176470588235,9.961176470588235,,1.29,0.7949999999999999,15.694117647058825,4.301333333333333,18.210588235294118,41.98529411764706,17.57,0.5313333333333333,25.354705882352942,83.2764705882353,2.1852941176470586,208.43764705882353,21.118823529411763,1015.8123529411765,0.2770588235294118,,,
2015-11-10,47.86545454545455,,4.043333333333333,14.088,9.776,,2.2426666666666666,1.0192857142857144,14.147142857142857,2.0085714285714285,15.31,6.522666666666667,1.89125,0.4921428571428571,24.396,89.276,2.2146666666666666,228.27733333333333,78.84733333333334,1012.91,0.2700000000000001,,,
2015-11-11,59.14625,,1.1275,6.060833333333334,3.9804166666666667,,3.454166666666667,1.2495833333333335,16.359166666666667,0.6259090909090909,2.02,0.6445833333333334,0.6315384615384615,0.33958333333333335,25.022499999999997,88.79833333333333,2.18,179.50791666666666,72.11125,1015.8262500000001,0.27,,,
2015-11-12,30.203333333333333,,4.759130434782608,8.939130434782609,9.339565217391305,,3.473478260869565,1.2908695652173914,13.863478260869567,0.7552173913043478,4.27695652173913,1.1047619047619048,0.4114285714285714,0.35333333333333333,25.830434782608698,85.08869565217391,2.1234782608695655,169.1986956521739,76.1791304347826,1020.8439130434782,0.2739130434782609,,,
2015-11-13,21.684166666666666,,9.176250000000001,18.59208333333333,17.449583333333333,,1.2404166666666667,1.3,15.808333333333332,1.0804545454545453,4.010416666666667,2.3243478260869566,2.238,0.88375,24.4425,76.465,2.080833333333333,186.23,48.51291666666666,1023.7254166666667,0.27958333333333335,,,
2015-11-14,7.421250000000001,,5.837083333333333,17.315,14.33375,,1.3308333333333333,1.0283333333333333,15.3175,0.9125,4.212272727272727,1.2913636363636363,0.8078571428571427,0.31217391304347825,24.784166666666668,70.45625,2.08625,182.47208333333333,110.64666666666666,1019.1149999999999,0.28,,,
2015-11-15,7.1674999999999995,,3.8504166666666664,13.899166666666666,11.186250000000001,,1.4262499999999998,1.26625,15.262083333333335,0.705,3.2647826086956524,0.7452380952380953,0.8138461538461539,0.4270833333333333,23.90833333333333,86.63499999999999,2.0925,181.02333333333334,30.841250000000002,1017.84,0.28,,,
2015-11-16,16.52,,4.777619047619048,10.81952380952381,10.278571428571428,,4.561904761904762,1.3800000000000001,16.563333333333333,0.8390000000000001,3.3235,0.6661111111111111,0.81,0.36777777777777776,24.056190476190476,88.0904761904762,2.172857142857143,184.34809523809523,59.23285714285715,1014.4895238095238,0.2776190476190476,,,
