From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),AT ()
2017-05-01,,89.9,8.27,7.43,,26.43,0.37,7.7,,23.67,73.82,0.67,79.34,7.5,1012.0,-1.6,
2017-05-02,,102.75384615384615,7.787692307692307,10.105384615384615,,43.33833333333333,0.5746153846153846,31.43769230769231,,32.06307692307692,46.44384615384615,1.0238461538461539,77.40384615384616,326.6838461538461,1016.75,-3.203076923076923,
2017-05-03,,87.09166666666665,7.585,8.827916666666667,,26.72285714285714,0.30833333333333335,19.353333333333335,,31.38208333333333,55.9975,1.0050000000000001,75.32416666666667,330.59708333333333,1016.0479166666668,-2.7395833333333335,
2017-05-04,,125.8125,7.677083333333333,8.663333333333334,,36.90764705882353,0.29375,19.864583333333332,,32.31875,54.643750000000004,1.0041666666666667,72.92666666666666,282.2575,1016.6183333333333,-2.79625,
2017-05-05,,125.11666666666667,7.708333333333333,9.064166666666667,,,0.30916666666666665,22.154583333333335,,33.60958333333333,48.81041666666667,1.1941666666666666,73.85916666666667,284.13624999999996,1017.1208333333334,-3.6649999999999996,
2017-05-06,,166.97041666666667,7.835416666666667,9.56375,,,0.3670833333333334,29.637916666666666,,33.592083333333335,35.94,1.0795833333333333,107.56583333333333,304.6166666666667,1017.0875,-4.046666666666667,
2017-05-07,,107.51541666666667,7.8875,9.155416666666666,,,0.3020833333333333,33.82666666666667,,33.093333333333334,38.92125,1.00875,113.5575,287.11333333333334,1017.1566666666666,-3.5529166666666665,
2017-05-08,,102.68291666666666,7.983750000000001,9.7175,,5.185833333333333,0.35625,14.403888888888888,,31.393333333333334,58.68291666666667,0.9933333333333333,102.50916666666666,240.01666666666665,1016.8816666666667,-2.56625,
2017-05-09,,133.45624999999998,7.787916666666667,9.279166666666667,,40.52791666666666,0.28875,,,29.66916666666667,48.944583333333334,1.0283333333333333,84.61041666666667,276.4975,1016.1416666666668,-2.5037499999999997,
2017-05-10,,160.54375000000002,7.807083333333334,9.6175,,57.435,0.3070833333333333,32.818636363636365,,29.896666666666665,55.4675,0.9375,82.19791666666667,265.56166666666667,1016.2691666666666,-2.5079166666666666,
2017-05-11,,123.55458333333333,7.975416666666667,8.9975,,12.86,0.30875,16.6175,,29.94875,60.754999999999995,1.16375,80.21833333333333,275.72375,1016.4079166666667,-2.6054166666666667,
2017-05-12,,90.30125,7.63,9.358333333333333,,26.4115,0.3233333333333333,18.264583333333334,,30.85083333333333,58.22291666666666,1.0137500000000002,74.5525,326.7241666666667,1017.0070833333333,-2.7016666666666667,
2017-05-13,,206.24625,7.736250000000001,9.822916666666666,,39.75666666666667,0.30333333333333334,21.02875,,29.92375,69.28208333333333,1.0616666666666668,71.49958333333333,239.33416666666668,1016.2716666666666,-2.57875,
2017-05-14,,194.30041666666668,7.71875,9.97625,,35.037894736842105,0.43875,27.306818181818183,,31.664583333333336,61.999583333333334,0.9674999999999999,70.2775,294.8675,1016.97625,-2.845833333333333,
2017-05-15,,146.41291666666666,7.837083333333333,9.48875,,20.662499999999998,0.32208333333333333,51.034166666666664,,31.552916666666665,72.93124999999999,0.945,64.86791666666667,228.76416666666668,1016.6354166666666,-2.122916666666667,
2017-05-16,,93.34666666666668,7.514166666666667,8.450416666666667,,21.91,0.2708333333333333,51.48916666666667,,30.834166666666665,64.51458333333333,1.2258333333333333,65.21875,317.74125,1016.7416666666667,-2.29625,
2017-05-17,,117.97208333333333,7.75875,9.510416666666666,,19.43227272727273,0.35874999999999996,18.755,,29.532083333333333,75.01,1.015,74.90916666666666,203.18875,1016.0762500000001,-2.1770833333333335,
2017-05-18,,116.97250000000001,7.944166666666667,9.555416666666668,,41.50590909090909,0.34833333333333333,47.79541666666666,,29.675416666666667,69.80166666666666,0.8395833333333332,133.255,264.95416666666665,1015.7045833333333,-2.2570833333333336,
2017-05-19,,110.23727272727272,7.930454545454546,9.765,,22.253529411764706,0.385,35.13318181818182,,31.062083333333334,55.90166666666667,1.0504166666666668,139.90375,300.425,1016.5675,-2.955833333333333,
2017-05-20,,95.41083333333334,7.578333333333333,8.6075,,57.12772727272727,0.28958333333333336,29.29375,,32.985,44.09375,1.3041666666666667,97.52166666666666,348.62125,1017.9633333333333,-3.5245833333333336,
2017-05-21,,132.47833333333332,7.83625,8.6575,,55.263333333333335,0.30041666666666667,37.39791666666667,,32.77583333333333,39.997499999999995,1.155,92.66875,292.93833333333333,1017.82,-3.5308333333333333,
2017-05-22,,151.78333333333333,7.446666666666666,8.367083333333333,,38.95052631578947,0.3545833333333333,28.36125,,31.787916666666664,49.199999999999996,0.9375,75.7075,279.495,1017.63625,-3.1525,
2017-05-23,,151.63958333333332,7.958749999999999,9.830416666666666,,64.61777777777777,0.4483333333333333,34.42333333333333,,30.249166666666667,61.38125,0.9545833333333333,114.75125000000001,298.18541666666664,1016.3154166666667,-2.9933333333333336,
2017-05-24,,194.57875,7.810416666666666,10.155416666666666,,20.258235294117647,0.37916666666666665,14.60375,,31.91208333333333,67.64999999999999,0.8737499999999999,105.30333333333334,310.5779166666667,1016.9366666666666,-2.825833333333333,
2017-05-25,,137.48833333333332,7.980833333333333,10.007083333333334,,52.4525,0.2970833333333333,10.2225,,32.54833333333333,59.61166666666667,0.9541666666666666,91.205,321.1245833333333,1017.4533333333334,-2.8295833333333333,
