From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),AT (degree C),RF (mm)
2020-03-01,74.27083333333333,136.57291666666666,36.37583333333333,21.033333333333335,26.997083333333332,15.145833333333334,1.2591666666666665,87.88708333333334,0.40041666666666664,1.6504166666666666,0.32545454545454544,30.730416666666667,49.020833333333336,1.6600000000000001,163.91666666666666,102.72916666666667,28.022499999999997,0.0
2020-03-02,60.645833333333336,128.40625,30.119583333333335,18.134583333333335,26.57625,10.65125,0.9787500000000001,74.06875000000001,0.34833333333333333,1.2445833333333334,0.17550000000000002,30.48375,45.854166666666664,1.8216666666666665,208.0,121.66666666666667,27.759583333333335,0.0
2020-03-03,43.145833333333336,114.79166666666667,24.19458333333333,14.676666666666668,20.93166666666667,10.75625,0.7258333333333334,79.61166666666666,0.22791666666666666,0.9087500000000001,0.12200000000000001,30.568749999999998,42.21875,1.8808333333333334,213.69791666666666,120.33333333333333,27.47666666666667,0.0
2020-03-04,40.552083333333336,108.11458333333333,17.8225,10.576666666666666,18.792083333333334,10.9075,0.5570833333333334,85.74041666666666,0.16458333333333333,0.6525,0.067,30.81625,45.760416666666664,3.1245833333333333,237.11458333333334,119.58333333333333,27.012916666666666,0.0
2020-03-05,36.395833333333336,122.75,23.38625,14.62,14.168750000000001,9.765833333333333,0.6158333333333333,74.645,0.22875,2.702916666666667,0.57,30.812916666666666,41.635416666666664,2.5795833333333333,211.41666666666666,116.23958333333333,26.98375,0.0
2020-03-06,29.833333333333332,141.10416666666666,17.079583333333336,10.988750000000001,16.212083333333336,8.477083333333333,0.5325,64.47958333333334,0.24916666666666668,4.459583333333334,0.11642857142857144,30.155,58.40625,5.609583333333333,227.16666666666666,106.40625,26.249166666666667,0.0
2020-03-07,32.96875,85.11458333333333,23.510833333333334,13.972083333333332,12.029583333333333,9.7675,0.6854166666666667,84.50916666666667,0.3045833333333334,4.18875,0.1622222222222222,29.954583333333332,46.28125,1.9349999999999998,159.30208333333334,127.32291666666667,26.212500000000002,0.0
2020-03-08,17.90625,44.416666666666664,18.87666666666667,11.204166666666666,11.079583333333332,8.065833333333334,0.5408333333333334,93.11458333333333,0.18125000000000002,2.06875,0.11777777777777779,29.83458333333333,42.645833333333336,3.1649999999999996,79.90625,128.71875,26.777916666666666,0.0
2020-03-09,26.46875,54.322916666666664,23.096666666666668,13.567083333333334,12.025833333333333,8.989583333333334,0.7091666666666666,91.08,0.23333333333333336,2.06,0.15695652173913044,30.457083333333333,40.5,3.184583333333333,72.80208333333333,102.55208333333333,27.099166666666665,0.0
2020-03-10,62.375,94.35416666666667,22.264583333333334,13.147083333333333,20.402083333333334,12.416666666666666,0.9175,69.13125000000001,0.40041666666666664,4.8445833333333335,0.138,31.00208333333333,46.625,2.93875,203.19791666666666,107.20833333333333,27.76875,0.0
