From Date,PM2.5 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C),Xylene (ug/m3)
2010-12-01,,33.28125,29.28375,62.56333333333333,1.0266666666666666,1.3816666666666666,0.03230769230769231,4.9425,17.55666666666667,22.976249999999997,64.00208333333333,0.9354166666666667,67.10833333333333,209.82375000000002,709.75875,-0.04958333333333333,,4.711666666666667
2010-12-02,,11.664166666666667,20.21625,31.88083333333333,1.3754166666666665,1.0816666666666668,0.02947368421052632,3.112083333333333,12.424583333333333,23.162499999999998,67.69875,1.2783333333333333,57.374583333333334,184.20000000000002,710.09375,-0.05583333333333334,,2.685416666666667
2010-12-03,,9.19875,15.768333333333333,24.968333333333334,2.285833333333333,0.8979166666666667,0.037083333333333336,2.57875,10.750833333333333,23.036666666666665,66.18458333333334,1.4058333333333335,50.201249999999995,188.95000000000002,710.1833333333334,-0.08333333333333333,,1.675
2010-12-04,,7.965,19.632083333333334,27.5975,1.95125,0.8825,0.034583333333333334,2.4529166666666664,20.676666666666666,22.274583333333336,63.51458333333333,1.9033333333333333,54.76,214.62750000000003,708.93,-0.07166666666666667,,1.7845833333333332
2010-12-05,,1.6,14.815999999999999,16.416,1.9607142857142856,0.355,0.038,4.3695,9.327857142857143,20.917499999999997,61.54714285714285,3.0,35.09571428571429,217.40785714285715,707.4175,-0.2292857142857143,,0.6378571428571428
2010-12-06,,13.08375,13.13375,26.216874999999998,2.398,1.545625,0.046875,1.995,5.388,21.811875,50.896,3.3613333333333335,57.53933333333334,208.9226666666667,707.73,-0.31,,1.656
2010-12-07,,10.675833333333335,14.155416666666667,24.831666666666667,2.7320833333333336,0.8395833333333332,0.028947368421052635,1.29,7.5008333333333335,18.747083333333332,73.96666666666667,2.5541666666666667,213.06625,66.62333333333333,706.3629166666666,-0.26625,,0.8616666666666667
2010-12-08,,7.91375,10.156666666666666,18.06833333333333,2.7862500000000003,0.7670833333333333,0.014210526315789474,1.1320833333333333,7.958333333333333,19.275833333333335,83.78166666666667,2.50125,277.2679166666667,91.60458333333332,705.94375,-0.24291666666666667,,0.5925
2010-12-09,,10.549999999999999,15.146666666666667,25.7,3.1991666666666667,0.9049999999999999,0.021666666666666667,1.3270833333333332,12.119583333333333,21.924166666666665,71.59833333333333,1.8533333333333333,285.7004166666667,220.00833333333333,706.9954166666666,-0.1575,,1.3054166666666667
2010-12-10,,11.449166666666668,19.62375,31.0725,2.722916666666667,1.0258333333333334,0.03363636363636364,1.5495833333333333,7.547499999999999,21.991666666666664,73.69833333333334,1.0329166666666667,158.98916666666665,151.86625,707.5233333333334,-0.024583333333333336,,1.4666666666666668
2010-12-11,,18.289583333333333,27.905833333333334,46.19541666666667,2.736666666666667,1.468333333333333,0.04285714285714286,2.2150000000000003,7.2941666666666665,22.83583333333333,70.44125,0.6316666666666667,143.78541666666666,171.80416666666667,707.2362499999999,-0.0062499999999999995,,2.622916666666667
2010-12-12,,18.393333333333334,24.03916666666667,42.4325,1.9873913043478262,0.57625,0.0295,1.28125,3.2265217391304346,20.863333333333333,61.08391304347826,1.8782608695652174,249.89260869565217,199.05913043478265,706.8091666666666,-0.06304347826086956,,1.1539130434782607
2010-12-13,,37.34583333333333,32.904583333333335,70.25208333333333,1.7916666666666667,1.1199999999999999,0.043333333333333335,1.7733333333333334,7.38375,21.679166666666664,58.85375,1.2629166666666667,228.63833333333332,219.59916666666666,708.2908333333334,-0.003750000000000001,,1.3870833333333332
2010-12-14,,30.362916666666663,28.860416666666666,59.224583333333335,2.0091666666666668,0.8829166666666667,0.032380952380952385,1.7025,12.244166666666667,21.520833333333332,60.75625,1.33875,82.99708333333334,186.27791666666667,709.5595833333333,-0.0625,,1.1199999999999999
2010-12-15,,6.157916666666668,17.87708333333333,24.03708333333333,2.3320833333333333,0.8295833333333333,0.045000000000000005,1.8654166666666667,9.612499999999999,20.46875,59.67916666666667,1.8733333333333333,47.48916666666667,198.32541666666668,710.1366666666667,-0.09458333333333334,,1.0075
2010-12-16,,12.446666666666665,21.548333333333332,33.99458333333333,2.4962500000000003,0.8458333333333333,0.042083333333333334,2.348333333333333,11.504583333333334,19.588333333333335,52.42583333333334,1.6908333333333332,76.3275,222.41458333333333,710.1166666666667,-0.09916666666666667,,1.1404166666666666
2010-12-17,,8.835416666666667,31.842083333333335,40.6775,2.671666666666667,0.8962499999999999,0.04045454545454546,1.8108333333333333,6.496666666666666,19.49125,52.02333333333333,1.2804166666666668,91.47458333333333,222.07000000000002,710.3137499999999,-0.043333333333333335,,1.4233333333333336
2010-12-18,,12.456249999999999,29.115416666666665,41.57125,2.4391666666666665,0.9087500000000001,0.03904761904761905,2.3633333333333333,10.265416666666667,18.757916666666667,50.44083333333333,1.6595833333333332,37.865,243.11958333333334,710.4708333333333,-0.07833333333333332,,2.4045833333333335
2010-12-19,,10.539166666666667,29.965833333333336,40.50666666666667,3.4066666666666667,0.8120833333333334,0.03869565217391304,2.03125,21.101666666666667,18.22625,49.557500000000005,2.3366666666666664,34.447916666666664,248.39208333333332,711.32875,-0.09250000000000001,,1.1804166666666667
2010-12-20,,7.7275,24.349999999999998,32.0775,2.3345833333333332,0.83,0.03909090909090909,1.9466666666666665,12.198333333333332,18.761666666666667,47.19958333333333,2.04,47.72125,246.4175,712.3129166666666,-0.07666666666666667,,1.2683333333333333
