From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2022-05-26,19.643333333333334,56.882083333333334,2.4295833333333334,7.661666666666666,9.529166666666667,11.580833333333333,30.270833333333332,0.23416666666666666,15.374583333333334,0.32958333333333334,,0.2820833333333333,0.3179166666666667,,81.31583333333333,1.2083333333333333,191.10708333333332,0.0,,,24.50375,0.04041666666666667
2022-05-27,29.094166666666666,94.18333333333334,2.004583333333333,8.190416666666666,9.417916666666667,12.17375,31.14708333333333,0.27,17.077916666666667,0.37833333333333335,,0.325,0.365,,75.61916666666667,0.9070833333333334,178.84208333333333,0.0,,,25.44666666666667,0.0
2022-05-28,28.94125,87.39833333333333,1.7929166666666667,7.839583333333334,8.836666666666668,13.074583333333335,32.407916666666665,0.24916666666666668,22.601249999999997,0.34875000000000006,,0.29875,0.3358333333333334,,71.58083333333333,1.0891666666666666,214.595,0.0,,,26.352083333333336,0.0275
2022-05-29,35.263333333333335,91.13083333333333,1.8316666666666668,7.932083333333334,8.972916666666666,13.076666666666666,32.79458333333333,0.30291666666666667,14.642173913043477,0.4245833333333333,,0.36375,0.41,,74.73125,0.8529166666666667,196.93875,0.0,,,26.471666666666664,0.0
2022-05-30,23.74083333333333,51.06041666666667,2.0524999999999998,8.666666666666666,9.853333333333333,13.507083333333334,32.83958333333333,0.32541666666666663,9.761052631578949,0.45458333333333334,,0.38875,0.4383333333333333,,85.57333333333334,0.8179166666666666,153.55583333333334,0.0,,,24.792916666666667,0.4970833333333333
2022-05-31,20.892500000000002,68.70541666666666,2.3108333333333335,8.689583333333333,10.219583333333334,13.07625,32.5225,0.32375000000000004,12.003333333333334,0.455,,0.38833333333333336,0.4379166666666667,,81.11749999999999,0.75,164.01624999999999,0.0,,,26.0825,0.034583333333333334
2022-06-01,15.715833333333334,48.21208333333333,2.4279166666666665,7.924166666666667,9.725,13.506666666666668,33.64041666666667,0.285,14.756428571428572,0.39958333333333335,,0.3425,0.385,,82.0775,0.9825,147.54541666666668,0.0,,,26.109583333333333,0.2333333333333333
2022-06-02,9.802173913043477,25.59173913043478,2.384583333333333,7.242916666666666,9.120833333333334,11.42,32.54958333333333,0.23958333333333334,12.311818181818182,0.3358333333333334,,0.2866666666666667,0.3229166666666667,,88.49874999999999,0.9583333333333334,173.48166666666668,0.0,,,24.56458333333333,0.6745833333333334
2022-06-03,13.5755,38.168695652173916,2.4525,7.364999999999999,9.327916666666667,11.312083333333334,32.288333333333334,0.23166666666666666,14.519583333333335,0.325,,0.27791666666666665,0.3129166666666667,,86.19749999999999,1.0566666666666666,172.3575,0.0,,,25.067916666666665,0.19500000000000003
2022-06-04,16.090416666666666,53.447916666666664,2.703333333333333,7.430833333333333,9.654583333333333,11.937916666666666,31.830833333333334,0.2725,11.779583333333333,0.37958333333333333,,0.32708333333333334,0.3666666666666667,,83.60833333333333,0.9570833333333333,180.49125,0.0,,,25.049166666666665,0.0
2022-06-05,17.637916666666666,53.24125,2.685833333333333,6.521666666666667,8.904166666666667,11.955416666666666,32.882083333333334,0.2225,14.104347826086956,0.3125,,0.26791666666666664,0.30083333333333334,,79.69583333333334,1.135,192.26416666666668,0.0,,,25.42958333333333,0.015833333333333335
2022-06-06,21.15791666666667,69.72791666666667,2.877083333333333,6.36625,9.014166666666666,14.5875,33.7075,0.22125000000000003,7.86095238095238,0.3104166666666667,,0.2658333333333333,0.29833333333333334,,74.84208333333333,1.1020833333333333,193.94875,0.0,,,27.22875,0.0
2022-06-07,26.237083333333334,77.19875,2.893333333333333,6.51875,9.088333333333333,14.195,35.34583333333333,0.22666666666666668,11.916111111111112,0.31708333333333333,,0.2704166666666667,0.30624999999999997,,71.69958333333334,1.05,197.76250000000002,0.0,,,28.101249999999997,0.00125
2022-06-08,21.363333333333333,64.31791666666668,2.8275,6.592083333333334,9.054583333333333,13.686666666666667,36.1475,0.215,14.430416666666666,0.30041666666666667,,0.2558333333333333,0.28875,,76.14,1.3270833333333334,191.46541666666667,0.0,,,27.68958333333333,0.0
2022-06-09,26.90875,72.70833333333333,2.9095833333333334,7.2491666666666665,9.71625,13.394166666666665,36.40291666666666,0.2725,13.45409090909091,0.38208333333333333,,0.32666666666666666,0.36874999999999997,,75.88333333333334,1.09125,185.29125,0.0,,,27.694166666666664,0.0
2022-06-10,21.029166666666665,53.875,2.8991666666666664,6.135833333333333,8.769583333333333,13.062916666666666,36.39875,0.2316666666666667,12.082272727272727,0.32458333333333333,,0.2775,0.31083333333333335,,76.98583333333333,1.2420833333333334,222.27874999999997,0.0,,,26.870416666666667,0.0033333333333333335
2022-06-11,21.1975,61.300000000000004,2.8691666666666666,6.845416666666666,9.402916666666668,11.63125,34.97666666666667,0.23375,16.851666666666667,0.3283333333333333,,0.2804166666666667,0.31625,,77.47416666666666,0.9391666666666666,209.01666666666668,0.0,,,26.452083333333334,0.028333333333333335
2022-06-12,25.539583333333336,65.425,2.94375,6.568333333333334,9.245,11.876666666666667,36.08541666666667,0.25916666666666666,13.746190476190478,0.3625,,0.31124999999999997,0.35000000000000003,,76.62041666666667,1.00125,195.17416666666668,0.0,,,26.592916666666667,0.017083333333333332
2022-06-13,21.1275,60.685833333333335,2.9345833333333338,7.315833333333333,9.8575,10.780416666666667,35.82458333333333,0.2658333333333333,16.82125,0.37125,,0.3183333333333333,0.3575,,81.34666666666666,1.1824999999999999,205.04333333333332,0.0,,,24.990416666666665,0.06
