From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm)
2019-03-01,69.67625,108.62708333333335,19.510833333333334,11.90625,44.79416666666666,22.969583333333333,16.19333333333333,0.86375,18.1775,2.1579166666666665,,1.12875,1.4670833333333333,,65.36874999999999,1.0270833333333333,196.78083333333333,386.3961538461538,1004.7329166666667,18.724166666666665,0.019166666666666665
2019-03-02,91.92083333333333,157.10875000000001,40.142916666666665,19.14375,86.40083333333332,18.262083333333333,22.41875,1.0566666666666666,36.28458333333334,3.04125,,0.23249999999999998,1.2791666666666666,,60.21208333333333,0.9654166666666666,128.875,345.73133333333334,1003.6345833333334,19.831666666666667,0.018333333333333333
2019-03-03,107.80874999999999,200.12208333333334,49.57541666666666,18.739166666666666,101.48166666666667,19.159583333333334,21.815833333333334,1.2925,29.741249999999997,3.5866666666666664,,0.03,1.8029166666666665,,56.07041666666667,0.8979166666666667,143.7375,314.01625,998.6725,20.95375,0.03666666666666667
2019-03-04,90.6825,178.37041666666667,39.751666666666665,14.585416666666667,80.88541666666667,21.419166666666666,16.753333333333334,0.8304166666666667,31.354166666666668,6.79375,,44.11,6.1745833333333335,,60.94083333333333,1.1866666666666668,158.42249999999999,316.9357142857143,994.2058333333333,21.454583333333332,0.03791666666666666
2019-03-05,69.12333333333333,115.80958333333332,3.11875,9.700416666666667,15.518749999999999,18.55625,20.293333333333333,0.625,47.817083333333336,1.50375,,0.05333333333333334,0.541304347826087,,70.92958333333333,1.1054166666666667,127.45291666666667,344.6653846153846,999.0270833333334,20.364583333333332,0.017499999999999998
2019-03-06,62.99916666666667,90.25666666666666,4.29625,10.300416666666665,18.084583333333335,21.120416666666667,19.653333333333332,0.5383333333333333,43.31916666666667,1.23,,0.07,0.4270833333333333,,74.55875,1.2029166666666666,125.31333333333333,268.82,992.9991666666666,20.8975,0.04
2019-03-07,78.93541666666667,120.90958333333333,20.0575,15.23375,49.263749999999995,23.87625,16.495833333333334,0.9016666666666667,24.285833333333333,3.3508333333333336,,,1.2916666666666667,,74.1725,0.9379166666666667,148.80916666666667,325.954,998.7366666666667,20.04,0.020833333333333332
2019-03-08,105.76041666666667,181.44083333333333,45.161249999999995,21.290833333333335,96.96375,24.060833333333335,19.413333333333334,1.1937499999999999,24.205833333333334,4.435416666666667,,,2.5320833333333335,,59.13833333333333,1.0220833333333335,159.53,330.44375,997.1191666666667,20.972083333333334,0.027499999999999997
2019-03-09,116.42125,205.85375,48.71416666666667,21.502499999999998,103.01583333333333,23.519166666666667,18.863333333333333,1.1795833333333332,18.917083333333334,3.907083333333333,,,1.90125,,55.32916666666667,0.98375,174.51791666666668,355.1064285714286,1003.3225000000001,21.09875,0.0
2019-03-10,123.81916666666666,234.35666666666665,32.13791666666666,19.631666666666664,73.77583333333332,21.31083333333333,24.808333333333334,1.0708333333333333,46.41,2.6275,,0.03,1.14875,,63.01958333333334,1.2341666666666666,114.12791666666668,251.3711764705882,997.7516666666667,20.69875,0.06583333333333334
2019-03-11,126.10625,217.3841666666667,35.840833333333336,17.431250000000002,77.515,24.485416666666666,23.648750000000003,1.33875,37.723333333333336,3.3258333333333336,,3.3425000000000002,2.9483333333333337,,66.38291666666667,0.9016666666666667,105.62374999999999,310.0307142857143,1002.4608333333334,21.9175,0.028749999999999998
2019-03-12,119.25875,197.7733333333333,39.482083333333335,16.533333333333335,82.49541666666667,24.863333333333333,23.87625,0.92375,50.68333333333334,3.3387499999999997,,3.306363636363636,4.2075000000000005,,63.53916666666667,1.1370833333333332,116.70291666666667,266.60058823529414,999.4079166666667,23.57166666666667,0.03916666666666666
2019-03-13,104.24083333333334,194.94458333333333,17.015833333333333,24.240416666666665,53.90708333333333,19.77375,21.345,1.07875,45.64666666666667,2.341666666666667,,0.043333333333333335,0.9704166666666666,,61.8325,1.0420833333333335,114.605,319.84866666666665,999.0187500000001,24.263333333333335,0.017916666666666668
2019-03-14,139.86583333333334,262.8120833333333,41.20291666666667,29.19333333333333,98.89458333333333,22.869583333333335,23.131249999999998,1.3245833333333332,41.27458333333333,3.2808333333333333,,0.03,1.3466666666666667,,59.41916666666666,0.8633333333333333,119.59541666666667,258.3164705882353,995.94125,25.061666666666667,0.06666666666666667
2019-03-15,137.65541666666667,277.20166666666665,36.315416666666664,25.41541666666667,86.82916666666667,27.761666666666667,20.501250000000002,1.235,31.2175,2.7579166666666666,,0.1,1.1658333333333333,,52.76666666666667,1.3504166666666666,186.7175,235.63555555555558,994.3429166666666,26.929583333333337,0.06583333333333334
2019-03-16,127.3395,314.483,24.926666666666666,21.985416666666666,64.47666666666667,26.26875,17.232916666666664,0.9570833333333333,17.350416666666668,2.1445833333333333,,0.03,0.8850000000000001,,47.55916666666667,2.64,214.59875,330.281875,995.1033333333334,27.47791666666667,0.06
2019-03-17,109.37333333333333,200.86833333333334,16.65125,25.99875,55.225833333333334,24.172916666666666,22.019166666666667,1.1733333333333333,34.21375,3.610416666666667,,0.185,1.83375,,44.96416666666667,1.4804166666666667,165.39374999999998,345.1707142857143,1002.2120833333333,26.802916666666665,0.028749999999999998
