From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),CH4 (ug/m3),NMHC (ug/m3),THC ()
2010-01-01,,,18.326315789473682,18.599999999999998,28.84526315789474,164.94222222222223,5.04235294117647,0.9516666666666667,,,,,0.6880952380952381,166.67904761904762,71.8647619047619,999.7709523809523,1.47,,,
2010-01-02,,,54.763333333333335,6.742222222222222,61.28888888888889,390.58,8.586666666666666,1.7166666666666666,,,,,0.7611111111111111,153.73666666666668,29.754444444444445,1001.1022222222223,1.47,,,
2010-01-03,,,,,,,,,,,,,,,,,,,,
2010-01-04,,,,,,,,,,,,,,,,,,,,
2010-01-05,,,,,,,,,,,,,,,,,,,,
2010-01-06,,,,,,,,,,,,,,,,,,,,
2010-01-07,,,10.368749999999999,20.9875,31.1325,103.67375,5.026000000000001,1.006,,,,,0.93125,159.03125,33.4675,999.3075,1.47,,,
2010-01-08,,,8.486428571428572,11.695714285714287,20.782,84.86428571428571,7.375,1.4749999999999999,,,,,0.836,143.06300000000002,77.32300000000001,997.826,1.47,,,
2010-01-09,,,6.77625,11.593333333333334,12.747272727272728,67.75583333333334,5.0200000000000005,1.0041666666666667,,,,,0.7645454545454545,186.0218181818182,44.873636363636365,999.1018181818182,1.4699999999999998,,,
2010-01-10,,,5.59875,5.86375,11.384705882352941,55.97458333333333,3.82875,0.7658333333333333,,,,,0.7495833333333334,232.87208333333334,43.6275,1000.53125,1.47,2100.0,,
2010-01-11,,,4.55076923076923,5.416153846153846,,45.51076923076923,3.5153846153846158,0.7038461538461539,,,,,0.7400000000000001,209.14769230769232,48.52538461538462,1001.7230769230769,1.47,,,
2010-01-12,,,22.963333333333335,47.65,45.02333333333333,229.63166666666666,3.186,0.638,,,,,0.57,147.32,29.02,998.48,1.47,,,
2010-01-13,,,15.579230769230769,,28.226923076923075,155.79153846153847,5.053076923076923,1.0107692307692309,,,,,,,,,,2088.63,,
2010-01-14,,,,,,,,,,,,,,,,,,,,
2010-01-15,,,18.586666666666666,14.561111111111112,33.14888888888889,185.86222222222221,6.053333333333334,1.2111111111111112,,,,,0.6666666666666666,162.85666666666668,57.57555555555556,1005.5433333333333,1.47,,,
2010-01-16,,,7.1338888888888885,10.06611111111111,17.201666666666668,71.35,4.46,0.89,,,,,0.7738888888888888,167.29222222222222,51.21722222222222,1005.5505555555555,1.47,,,
2010-01-17,,,3.663125,7.398125,10.945,36.633125,3.587142857142857,0.7285714285714285,,,,,0.7425,241.02375,123.681875,1005.155625,1.47,,,
2010-01-18,,,4.7941666666666665,8.895416666666668,13.687916666666666,47.94125,4.4783333333333335,0.895,,,,,0.7308333333333333,220.74958333333333,105.29666666666667,1003.5691666666667,1.47,,,
2010-01-19,,,7.891666666666667,9.772916666666665,17.06625,78.91958333333334,4.9695833333333335,0.9941666666666666,,,,,0.7633333333333333,249.47166666666666,29.016666666666666,1001.835,1.47,815.83,,
2010-01-20,,,16.392083333333332,12.020416666666668,28.37125,163.92666666666665,6.609583333333333,1.3216666666666665,,,,,0.6791666666666667,204.63833333333332,162.43333333333334,1003.0524999999999,1.47,,,
2010-01-21,,,8.755416666666667,15.5475,24.303749999999997,87.55583333333334,6.292083333333333,1.2583333333333333,,,,,0.7679166666666667,212.0945833333333,141.36416666666665,1001.59125,1.47,,,
2010-01-22,,,13.764166666666666,12.828333333333333,26.59166666666667,137.6341666666667,5.0808333333333335,1.0158333333333334,,,,,0.7354166666666666,192.65458333333333,75.30875,1000.8679166666666,1.47,,,
2010-01-23,,,15.700000000000001,14.726666666666667,30.42833333333333,157.005,5.604166666666667,1.1216666666666666,,,,,0.6895833333333333,159.48458333333335,101.59375,1000.6616666666667,1.47,2309.86,,
2010-01-24,,,15.714583333333332,16.31416666666667,32.028333333333336,157.14875,5.167916666666667,1.03375,,,,,0.57375,148.39291666666665,110.23,999.59,1.47,,,
2010-01-25,,,21.626666666666665,11.127391304347826,32.08625,178.7381818181818,5.285833333333334,1.0579166666666666,,,,,0.6408333333333334,177.36166666666668,106.8,1000.2325000000001,1.47,,,
2010-01-26,,,13.987499999999999,8.7475,22.52333333333333,119.70956521739129,25.942083333333333,5.18875,,,,,0.8866666666666667,109.61958333333332,156.10999999999999,1000.1954166666666,1.47,,,
2010-01-27,,,31.504782608695653,10.314782608695653,40.62347826086957,163.03444444444443,11.108695652173912,2.221739130434783,,,,,0.9165217391304347,130.47956521739133,141.16260869565218,999.9473913043479,1.4700000000000002,2064.41,,
2010-01-28,,,66.99333333333334,15.553,63.21666666666667,80.36874999999999,9.946111111111112,1.9888888888888887,,,,,0.8261111111111111,141.675,180.49388888888888,1000.2733333333332,1.47,,,
2010-01-29,,,86.02708333333334,16.526470588235295,86.68333333333334,90.78090909090908,10.817826086956522,2.1630434782608696,,,,,0.8566666666666666,132.115,147.09125,999.3366666666667,1.47,76.2,,
2010-01-30,,,13.625416666666666,16.264583333333334,29.882916666666663,118.96478260869566,44.97388888888889,14.378095238095238,,,,,0.85125,174.51375,143.06458333333333,997.9691666666666,1.47,,,
2010-01-31,,,10.564166666666667,14.030000000000001,24.594166666666666,105.64583333333333,41.276363636363634,11.178333333333333,,,,,0.7775,162.3,138.47083333333333,999.3741666666666,1.47,,,
2010-02-01,,,,,,,,,,,,,,,,,,,,
