From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),MP-Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),RF (mm)
2016-05-09,46.38791666666666,156.1525,44.91375,42.51,87.42416666666666,25.006249999999998,2.0875,24.2775,0.1025,1.2025,,30.934583333333332,50.77166666666667,1.0825,17.35625,283.95125,944.3954166666667,,0.3770833333333334,
2016-05-10,34.07304347826087,92.50833333333333,37.36375,42.42625,79.79,24.95625,2.3329166666666667,20.19666666666667,0.20875,1.8545833333333333,,30.155833333333334,43.81458333333333,1.135,17.729166666666668,160.6826086956522,944.7933333333334,,0.7141666666666667,
2016-05-11,36.17208333333333,75.99416666666667,46.69125,43.61041666666667,90.30208333333333,25.654583333333335,2.6758333333333333,25.2375,0.18000000000000002,1.89625,,29.587500000000002,44.70666666666667,1.0695833333333333,17.185416666666665,188.9525,944.39875,,0.7158333333333333,
2016-05-12,33.8525,73.76375,40.43208333333333,44.04333333333333,84.39583333333333,25.907916666666665,2.6941666666666664,21.855833333333333,0.09333333333333334,1.3495833333333334,,32.204166666666666,41.772083333333335,1.20625,17.25375,300.66125,935.8095833333333,,0.42124999999999996,
2016-05-13,37.89090909090909,78.47227272727274,48.1325,46.833333333333336,93.735,27.549166666666665,2.529166666666667,26.018333333333334,0.08541666666666665,0.8833333333333333,,33.240833333333335,43.49166666666667,1.52125,17.468333333333334,319.51533333333333,942.6983333333333,,0.235,
2016-05-14,44.10434782608696,65.71565217391304,44.61375,44.55166666666667,88.46125,26.2075,2.3841666666666668,24.11375,0.07666666666666667,0.9225,,33.717083333333335,44.705000000000005,1.5775,17.505416666666665,257.67,944.7683333333333,,0.24416666666666667,
2016-05-15,40.34375,60.11333333333334,50.98375000000001,44.71125,95.69375000000001,26.300416666666667,2.3275,27.55875,0.07916666666666668,0.8825,,33.84625,43.29583333333333,1.1958333333333333,17.50875,190.07541666666668,944.5554166666666,,0.20458333333333334,
2016-05-16,37.391666666666666,55.71333333333334,48.43666666666667,46.04458333333333,94.48166666666667,27.084999999999997,2.299166666666667,26.181250000000002,0.08458333333333334,1.0283333333333333,,33.765,37.70916666666667,1.3041666666666667,17.460416666666667,241.04368421052632,942.62875,,0.26166666666666666,
2016-05-17,42.945,63.98791666666667,42.32375,46.9025,89.22500000000001,27.59,2.3279166666666664,22.877916666666668,0.08666666666666667,1.11625,,34.30125,38.904583333333335,1.3466666666666667,17.48125,200.80666666666664,940.4375,,0.3116666666666667,
2016-05-18,42.19583333333333,62.87083333333334,41.005,48.29,89.29708333333333,28.405833333333334,2.3474999999999997,22.16541666666667,0.06958333333333333,0.9041666666666667,,32.16291666666667,46.887499999999996,1.71375,17.398333333333333,182.081,939.3491666666667,,0.2866666666666667,
2016-05-19,30.785,45.869166666666665,36.96583333333333,47.79583333333333,84.74333333333333,28.115416666666665,2.3020833333333335,19.98125,0.03833333333333334,0.7041666666666666,,31.48166666666667,51.594166666666666,2.1545833333333335,17.417083333333334,241.30450000000002,939.4454166666666,,0.2041666666666667,
2016-05-20,29.704583333333332,50.46458333333333,37.586666666666666,46.70333333333334,84.28875000000001,27.4725,2.247916666666667,20.316666666666666,0.028095238095238093,0.58,,30.625833333333333,52.56625,2.5466666666666664,17.362083333333334,327.31928571428574,940.8691666666667,,0.17125,
