From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),Xylene (ug/m3)
2017-03-01,19.81833333333333,22.330416666666668,14.668750000000001,5.967083333333334,,1.495,26.88208333333333,0.45083333333333336,11.589166666666666,,,19.952916666666667,14.605,1.4312500000000001,291.3675,243.47875,
2017-03-02,77.52875,80.10333333333334,10.489583333333334,3.826190476190476,,1.2920833333333335,20.38904761904762,0.33958333333333335,18.735416666666666,,,20.349166666666665,,1.2120833333333334,261.5804166666667,237.6916666666667,
2017-03-03,19.960833333333333,34.465833333333336,9.917499999999999,3.183181818181818,,1.1824999999999999,14.891363636363637,0.3804166666666667,22.329583333333332,,,19.665,15.9,1.4545833333333331,311.4458333333333,217.78416666666666,
2017-03-04,23.391666666666666,56.36375,10.655833333333334,4.118260869565217,,1.8379166666666666,8.17125,0.46249999999999997,26.528333333333332,,,19.635833333333334,,1.5533333333333335,305.90125,217.73416666666665,
2017-03-05,29.961249999999996,44.93875,8.959166666666667,2.7075,,1.3154166666666667,11.424999999999999,0.39916666666666667,27.115416666666665,,,19.262916666666666,,1.4225,285.15833333333336,222.06500000000003,
2017-03-06,46.99375,64.35541666666667,9.639583333333333,4.969166666666667,,1.9695833333333332,31.320434782608697,0.5583333333333333,26.40125,,,20.43583333333333,,1.1441666666666668,247.7720833333333,225.42916666666667,
2017-03-07,43.53608695652174,50.163333333333334,9.496666666666668,5.425416666666667,,2.435,28.1825,0.3175,20.34875,,,18.474999999999998,26.61,1.0091666666666665,191.91583333333332,151.20791666666665,
2017-03-08,41.10208333333333,52.17916666666667,11.1275,7.895416666666667,,2.4791666666666665,21.56304347826087,0.39749999999999996,22.53,,,16.945,61.465714285714284,1.7108333333333334,198.4295833333333,218.31416666666667,
2017-03-09,30.61125,33.406666666666666,10.92125,12.0575,,2.31,4.264166666666667,0.3670833333333334,21.044583333333332,,,14.568333333333333,17.387999999999998,1.7937500000000002,145.31291666666667,147.155,
2017-03-10,36.937083333333334,43.23083333333333,12.592083333333333,14.936666666666667,,2.0120833333333334,6.668823529411765,0.24,25.086250000000003,,,14.610416666666666,0.05,1.635,168.55833333333334,211.6921739130435,
2017-03-11,32.02333333333333,51.635,10.988333333333335,20.160416666666666,,7.24125,4.7061111111111105,0.26208333333333333,18.83625,,,13.862916666666665,,1.0441666666666667,171.2325,212.735,
2017-03-12,25.922083333333333,54.95708333333334,12.03875,26.09958333333333,,11.727083333333333,8.164583333333333,0.5445833333333333,16.194166666666668,,,15.404166666666667,,1.3208333333333333,281.99291666666664,258.5725,
2017-03-13,41.624347826086954,77.8804347826087,11.46782608695652,25.904347826086955,,11.722173913043479,4.762222222222222,0.7247826086956523,20.074347826086957,,,16.49478260869565,,1.142608695652174,268.5321739130435,242.6221739130435,
2017-03-14,53.1447619047619,89.08047619047619,9.441904761904762,25.437142857142856,,11.785238095238096,7.666315789473684,1.1,29.945714285714285,,,18.555238095238096,,0.9557142857142857,272.46809523809526,225.31714285714284,
2017-03-15,50.02916666666667,83.55041666666666,10.198333333333332,25.99291666666667,,12.405000000000001,8.975416666666666,0.7216666666666667,24.442083333333333,,,17.25125,,1.1254166666666667,239.6916666666667,154.88208333333333,
2017-03-16,47.47714285714286,86.32238095238095,13.47142857142857,26.52904761904762,,12.507142857142856,2.6271428571428572,0.9052380952380953,19.586666666666666,0.0,0.0,17.974761904761905,,1.329047619047619,250.44095238095238,191.76761904761904,0.0
2017-03-17,144.85105263157894,91.65916666666668,13.350833333333334,26.775833333333335,,12.424583333333333,3.173809523809524,1.0733333333333335,21.364166666666666,,,19.853333333333335,,1.0175,256.84458333333333,252.66416666666666,
2017-03-18,71.485,98.686875,10.704375,26.103125,,12.018125,3.557142857142857,0.980625,12.859375,,,20.38375,15.5,1.146875,198.96,102.80125,
2017-03-19,74.20833333333333,97.95416666666667,10.466666666666667,25.752916666666668,,11.994166666666667,1.8583333333333334,0.9233333333333333,11.775,,,22.43375,9.11,1.1666666666666667,269.9275,242.26375,
2017-03-20,64.61125,96.22916666666667,9.536666666666667,25.29416666666667,,12.455416666666666,1.3804761904761904,0.7516666666666666,20.03125,,,23.29625,,1.3616666666666666,281.5520833333333,255.20375,
2017-03-21,56.3675,91.80291666666666,10.349166666666667,26.204583333333332,,12.629166666666668,2.9405,0.7466666666666667,19.84625,,,25.08666666666667,,1.0316666666666667,186.26458333333335,243.16208333333336,
2017-03-22,55.35458333333333,88.455,13.70375,28.421666666666667,,13.018333333333333,1.755,0.8904166666666667,13.734583333333333,,,25.52416666666667,48.98444444444445,1.1225,253.0325,248.04583333333335,
2017-03-23,39.76916666666667,75.97166666666666,11.700000000000001,26.1975,,12.737083333333333,1.0953333333333333,0.5941666666666666,21.160833333333333,,,24.3425,14.64,1.6216666666666668,298.84583333333336,249.26250000000002,
2017-03-24,41.922916666666666,67.32416666666667,9.549166666666666,24.8225,,12.3525,0.86,0.53,20.826249999999998,,,25.16541666666667,,1.5091666666666665,303.14916666666664,253.46333333333334,
2017-03-25,57.56583333333333,80.36458333333333,8.050833333333333,23.929166666666664,,11.855833333333335,2.2886666666666664,0.7525,25.162916666666664,,,25.76,,1.1424999999999998,268.1566666666667,245.24333333333334,
