From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree)
2022-04-22,41.88875,150.7175,0.28,3.255,3.5324999999999998,5.6475,0.43374999999999997,15.38375,,1.5250000000000001,192.40125,,800.26375,
2022-04-23,39.57875,115.16666666666667,0.29250000000000004,2.8295833333333333,3.1191666666666666,5.329583333333333,0.3745833333333333,14.7325,,2.04625,207.6575,,800.2641666666667,
2022-04-24,43.27291666666667,108.94625,0.28958333333333336,3.138333333333333,3.4275,4.97375,0.4216666666666667,15.58875,,1.7891666666666666,203.64916666666667,,800.2633333333333,
2022-04-25,46.74583333333334,127.31916666666666,0.2804166666666667,2.9566666666666666,3.23625,4.84375,0.4575,17.839166666666667,24.1,2.2375000000000003,208.18083333333334,38.7875,800.2620833333334,
2022-04-26,93.15541666666667,219.95125,0.28250000000000003,2.8049999999999997,3.0875,4.8566666666666665,0.525,16.764583333333334,30.188333333333333,1.8445833333333332,201.61958333333334,175.08083333333332,800.255,31.084374999999998
2022-04-27,65.20208333333333,145.56333333333333,0.27875,2.9095833333333334,3.185833333333333,5.0720833333333335,0.6333333333333334,20.030833333333334,34.66416666666667,1.5775,197.40875000000003,165.48291666666668,800.2525,27.81041666666667
2022-04-28,68.58125,148.20791666666668,0.27416666666666667,2.99,3.2624999999999997,4.948333333333333,0.7325,25.865,34.415,1.5433333333333332,192.43666666666664,162.78375,800.2491666666666,29.072916666666668
2022-04-29,60.57,139.72500000000002,0.265,2.405,0.3357142857142857,4.914999999999999,0.09857142857142856,14.43,45.224999999999994,0.375,135.22,0.07571428571428572,800.25,24.585
2022-04-30,55.586666666666666,155.92083333333332,0.2775,3.2241666666666666,3.44,4.7625,0.6183333333333333,28.974999999999998,31.536666666666665,1.8908333333333334,192.93416666666667,160.3325,800.2400000000001,32.31916666666667
2022-05-01,52.8325,128.48166666666665,0.2783333333333334,2.8683333333333336,3.1437500000000003,4.915,0.6083333333333333,20.312916666666666,37.21541666666666,2.0220833333333332,164.88750000000002,163.16458333333333,800.2433333333333,29.183333333333334
2022-05-02,30.92,117.22583333333334,0.28458333333333335,3.0004166666666667,3.2841666666666662,5.039583333333334,0.60125,17.395416666666666,51.42416666666667,1.43625,178.275,138.63875,800.2454166666666,27.7525
2022-05-03,48.395833333333336,125.30416666666667,0.2866666666666667,2.8016666666666663,3.061666666666667,5.235833333333333,0.6141666666666666,34.0925,51.79958333333334,1.5470833333333334,194.99458333333334,139.82333333333335,800.2441666666667,28.38625
2022-05-04,37.080666666666666,105.09533333333334,0.2833333333333333,2.668,1.7445833333333336,4.580666666666667,0.33249999999999996,31.359333333333332,49.943333333333335,1.716,187.2146666666667,86.16583333333334,810.3313333333333,24.9
2022-05-05,35.3465,95.97200000000001,0.3345,4.5329999999999995,3.9324999999999997,4.7325,0.47291666666666665,31.707,57.746500000000005,1.1385,179.378,98.26791666666666,800.24,24.4605
2022-05-06,52.52125,116.0825,0.2816666666666667,3.3954166666666663,3.674166666666667,4.7387500000000005,0.6945833333333334,54.93,51.12416666666667,1.6604166666666667,197.89458333333334,183.27458333333334,800.2404166666666,27.040000000000003
2022-05-07,46.89388888888888,99.16833333333334,0.2816666666666667,2.9294444444444445,2.267916666666667,4.888888888888889,0.5191666666666667,39.236111111111114,54.199444444444445,1.0138888888888888,178.67388888888888,39.08375,800.24,25.177777777777777
2022-05-08,39.504583333333336,95.65041666666667,0.27958333333333335,2.49375,2.7729166666666667,4.72,0.7483333333333334,52.62375,49.27,1.4504166666666667,178.74708333333334,173.88708333333332,800.24125,27.547916666666666
2022-05-09,46.31708333333333,106.19666666666666,0.2775,2.61375,2.890833333333333,5.007916666666667,0.8379166666666666,48.75833333333333,55.504999999999995,1.6725,169.32083333333333,164.21875,800.2404166666666,28.076666666666668
2022-05-10,27.74434782608696,65.20708333333333,0.29,2.7541666666666664,3.044166666666667,4.5945833333333335,0.7783333333333333,24.799166666666665,66.33166666666666,1.6016666666666666,177.11416666666665,142.29666666666665,802.3879166666667,26.082083333333333
2022-05-11,35.41791666666666,79.59416666666667,0.30833333333333335,3.1591666666666662,3.467916666666667,4.902916666666667,0.8308333333333334,27.729583333333334,65.04416666666667,1.4445833333333333,181.09833333333333,156.88958333333332,800.2400000000001,27.655833333333334
2022-05-12,44.07708333333333,102.04833333333333,0.2920833333333333,3.2274999999999996,3.4766666666666666,4.922083333333333,0.6729166666666666,30.122083333333332,64.66791666666667,1.7995833333333333,170.21416666666667,137.185,800.24125,28.13875
2022-05-13,37.84041666666666,86.18,0.29,3.1179166666666664,3.404166666666667,4.402083333333334,0.4154166666666667,36.50833333333333,59.290416666666665,1.5033333333333332,196.0533333333333,155.77208333333334,800.2441666666667,28.5
2022-05-14,51.84583333333333,122.45916666666666,0.28291666666666665,2.922083333333333,3.2025,4.765416666666667,0.5325,55.67791666666667,53.090833333333336,1.4495833333333332,186.04083333333332,173.53791666666666,800.2400000000001,30.697916666666668
2022-05-15,52.471666666666664,127.77666666666666,0.2808333333333333,2.5370833333333334,2.8179166666666666,5.132916666666667,0.56875,55.96958333333333,50.183749999999996,1.4991666666666665,179.53875000000002,172.45416666666665,800.2595833333334,30.79375
2022-05-16,55.98466666666666,127.792,0.2813333333333334,2.3346666666666662,1.6116666666666666,5.107333333333333,0.36916666666666664,53.76266666666667,54.39666666666667,1.812,171.53400000000002,133.87333333333333,800.24,30.701999999999998
