From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),AT (degree C),RF (mm)
2019-08-06,,43.85,10.29,7.44,5.13,0.93,24.405,0.44,38.845,0.5,0.16,2.5,5.18,76.995,1.74,136.05,591.0799999999999,,,1.06,29.595,0.0
2019-08-07,,57.05357142857143,10.955,4.906666666666667,6.424285714285714,0.8428571428571429,4.786666666666666,0.8024999999999999,24.376153846153844,2.9464285714285716,0.9914285714285714,8.855714285714287,16.490714285714287,75.115,0.7164285714285714,178.41285714285712,285.69307692307694,,,6.352857142857142,29.812142857142856,0.0
2019-08-08,,60.29066666666667,16.62933333333333,4.11,20.602666666666668,1.3646666666666667,3.8313333333333333,0.412,32.74923076923077,3.5853333333333333,1.1526666666666665,10.416666666666666,20.041333333333334,75.53733333333334,0.644,195.72666666666666,261.382,,,7.700666666666667,29.880666666666666,0.0
2019-08-09,,43.962941176470586,14.28375,6.5325,18.782941176470587,1.303125,3.368666666666667,0.82,21.81058823529412,3.3694117647058826,0.8929411764705882,7.477647058823529,14.855882352941178,85.04882352941176,0.7335294117647059,194.53941176470587,171.70470588235295,,,5.766470588235294,26.714,0.07
2019-08-10,,52.056666666666665,11.236666666666666,3.8333333333333335,10.599333333333334,0.9141666666666667,2.53,0.48000000000000004,18.068666666666665,2.954,0.8326666666666667,8.348666666666666,15.315333333333333,77.44466666666668,1.0493333333333335,131.238,326.89733333333334,,,6.082666666666666,28.989333333333335,0.0
2019-08-11,,,,,,,,,,,,,,,,,,,,,,
2019-08-12,,61.128,8.307500000000001,3.965,7.4475,0.742,4.35,0.268,39.396,2.7119999999999997,0.6140000000000001,5.582,10.440000000000001,70.50800000000001,1.612,311.938,863.216,,,4.26,32.2175,0.0
2019-08-13,,58.77928571428571,9.221428571428572,3.8528571428571428,11.449166666666665,0.8357142857142856,9.187857142857142,0.43857142857142856,29.30785714285714,2.5121428571428575,0.6542857142857142,5.905714285714287,11.148571428571428,79.11928571428572,1.5571428571428572,242.50500000000002,332.0785714285715,,,4.473571428571429,29.467857142857145,0.0
2019-08-14,,35.549090909090914,9.850666666666665,5.196,15.036,0.9086666666666666,5.218636363636364,0.5427272727272727,34.53409090909091,2.283181818181818,0.8281818181818181,7.841818181818183,14.444545454545453,78.83909090909091,0.9009090909090909,153.27045454545453,214.48772727272728,,,5.768636363636364,28.55666666666667,0.0
2019-08-15,,56.27227272727273,12.799375,4.820625,13.3505,1.0575,1.8233333333333333,0.715,15.447142857142856,2.933636363636364,0.8136363636363636,7.808095238095238,15.232380952380952,86.815,0.7809090909090909,140.70045454545453,181.4640909090909,,,5.683181818181819,28.314545454545453,0.0
2019-08-16,,46.504,14.842857142857143,4.385714285714285,16.89,1.2692857142857144,2.434285714285714,0.4486666666666667,19.16466666666667,2.866,0.7866666666666667,8.050666666666666,16.24,86.634,0.8059999999999999,111.85066666666667,204.89266666666666,,,6.42,27.122,0.02
2019-08-17,,30.569375,15.07875,4.644375,18.54625,1.220625,2.242,0.595,14.16,2.30875,0.625,6.6775,13.128124999999999,93.595625,0.991875,132.20625,121.76666666666667,,,5.279375,25.54875,0.038125000000000006
2019-08-18,,13.551363636363636,15.859166666666667,3.4633333333333334,10.50952380952381,1.3283333333333334,3.5091666666666668,0.5868181818181818,12.891363636363637,1.8495238095238098,0.5580952380952381,7.267894736842106,13.357368421052632,94.72454545454546,1.2063636363636363,126.06136363636364,136.97045454545454,,,4.9957142857142856,24.97590909090909,0.11
2019-08-19,,22.60214285714286,23.08909090909091,3.541818181818182,21.467142857142857,1.7725,2.183333333333333,0.5192857142857142,9.4575,3.309285714285714,0.8178571428571428,9.602857142857143,18.805,90.49428571428572,0.6464285714285715,130.30285714285714,268.2214285714286,,,7.548571428571429,25.50142857142857,0.02142857142857143
2019-08-20,,41.708571428571425,8.72,3.5414285714285714,4.930714285714286,0.69,4.4157142857142855,0.42142857142857143,33.81928571428572,1.9215384615384616,0.5369230769230768,5.0369230769230775,9.715384615384615,79.3157142857143,0.9964285714285713,241.97285714285712,430.205,,,4.056153846153847,27.737142857142857,0.0
2019-08-21,,65.27857142857142,9.337142857142856,3.636190476190476,12.785714285714286,0.8023809523809524,5.417619047619048,0.6652380952380953,30.44047619047619,3.1895238095238096,0.6814285714285715,6.29047619047619,11.611904761904762,84.66285714285715,0.9295238095238095,232.14333333333335,285.54333333333335,,,4.850952380952381,27.44,0.0
2019-08-22,,87.47399999999999,13.312000000000001,5.483333333333333,18.929333333333332,1.1213333333333333,6.065333333333333,0.5126666666666667,31.214666666666666,4.506666666666666,0.8453333333333333,7.522666666666667,15.005333333333335,79.35933333333334,0.6453333333333333,140.45333333333335,374.8453333333334,,,5.993333333333334,27.516666666666666,0.0
2019-08-23,,81.69555555555556,10.196250000000001,5.583333333333333,15.383333333333333,0.9611111111111111,9.738888888888889,0.8477777777777777,27.787777777777777,3.9322222222222223,0.8322222222222222,6.973333333333334,12.455555555555556,78.85555555555555,0.6233333333333334,165.33333333333334,125.64222222222222,,,5.096666666666667,28.824444444444445,0.0
