From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),RF (mm),AT (degree C)
2016-07-01,12.236666666666666,50.791666666666664,14.444166666666668,38.509166666666665,29.5575,7.7441666666666675,6.3,0.41583333333333333,14.0,0.6766666666666666,4.3675,33.857499999999995,66.01416666666667,2.1008333333333336,222.63250000000002,73.25750000000001,,-0.10000000000000002,0.11083333333333334,0.0,24.229
2016-07-02,22.278000000000002,67.73866666666667,26.85066666666667,46.82866666666666,42.77066666666666,7.497857142857143,4.857142857142857,1.1086666666666667,12.978666666666667,0.8953333333333333,6.008666666666667,32.99933333333333,65.22200000000001,1.6266666666666665,191.44466666666668,119.43866666666666,,-0.09333333333333334,0.27133333333333337,0.09133333333333334,24.908
2016-07-03,14.1625,46.14625,12.11625,41.45875,29.24083333333333,8.69375,5.558260869565218,0.7633333333333333,13.608695652173912,0.635,5.1691666666666665,32.721666666666664,67.64583333333333,1.8016666666666667,214.73291666666668,131.19125,,0.02625,0.16666666666666666,0.1875,23.928749999999997
2016-07-04,5.842105263157895,24.15368421052632,7.3578947368421055,39.17894736842105,24.560526315789474,7.110526315789474,5.878333333333334,0.6473684210526316,14.036315789473685,0.4931578947368421,5.738421052631579,32.438947368421054,72.45157894736842,1.5863157894736843,249.32,83.32894736842105,,0.07842105263157895,0.1,0.07210526315789474,22.96736842105263
2016-07-05,4.71875,17.22875,15.559166666666668,39.98166666666667,31.032916666666665,7.428260869565217,5.072608695652174,0.7520833333333332,14.349583333333333,0.6016666666666667,5.1825,32.85125,71.47208333333333,1.7879166666666666,217.55875,78.40625,,0.034166666666666665,0.15,0.08666666666666667,23.049166666666668
2016-07-06,8.260416666666666,31.534583333333334,18.395833333333332,40.529583333333335,33.40125,6.4995652173913046,5.051304347826087,0.7725,14.481250000000001,0.6683333333333333,5.154166666666667,32.47666666666667,72.13208333333334,1.8370833333333332,221.77416666666667,125.73916666666666,,-0.07708333333333334,0.15833333333333335,0.13166666666666668,23.049583333333334
2016-07-07,9.8475,32.225833333333334,17.535833333333333,35.162083333333335,30.170833333333334,6.469130434782608,4.594347826086957,0.35916666666666663,14.720416666666667,0.5783333333333333,5.17,32.7275,71.97916666666667,1.7995833333333333,214.865,99.295,,0.12,0.1416666666666667,0.18041666666666667,22.977083333333336
2016-07-08,18.079545454545453,56.66318181818181,11.008636363636363,37.71272727272728,26.562272727272727,5.992727272727273,4.281363636363636,1.1718181818181816,14.41590909090909,0.47181818181818175,3.9209090909090913,32.53272727272727,65.81454545454545,2.3695454545454546,234.48454545454544,75.36,,0.09272727272727273,0.11045454545454546,0.10045454545454545,23.528636363636362
2016-07-09,16.354583333333334,49.285,9.491249999999999,35.08166666666667,24.153750000000002,5.360833333333333,5.1673913043478255,0.7275,14.592500000000001,0.4870833333333333,3.31625,32.16833333333333,66.08666666666666,2.5191666666666666,216.9625,110.20833333333333,,-0.017916666666666674,0.10416666666666667,0.295,23.16416666666667
2016-07-10,14.440833333333332,40.78125,11.468333333333334,32.57416666666666,24.365416666666665,5.283913043478261,5.361739130434783,0.64,13.973333333333334,0.3625,2.950416666666667,32.17333333333333,66.0175,2.660416666666667,190.80583333333334,102.62124999999999,,0.16166666666666665,0.10000000000000002,0.5070833333333333,23.017916666666665
2016-07-11,12.142083333333332,37.895833333333336,14.31125,35.1275,27.71875,4.9073913043478266,5.679565217391304,0.7183333333333333,14.027916666666668,0.42083333333333334,3.1308333333333334,32.28125,64.98958333333333,2.464166666666667,219.875,114.73583333333333,,0.12208333333333332,0.10000000000000002,0.30541666666666667,23.401666666666667
2016-07-12,18.011363636363637,55.35954545454546,10.213636363636363,40.64454545454545,27.410454545454545,6.098181818181818,5.458095238095238,0.8809090909090909,14.461363636363636,0.5495454545454546,4.358181818181818,32.67227272727273,64.52272727272727,2.050909090909091,202.06500000000003,115.31045454545455,,0.15227272727272728,0.14363636363636365,0.18181818181818182,23.37181818181818
2016-07-13,17.257083333333334,49.68416666666667,17.55666666666667,42.71791666666667,33.84708333333334,7.7708695652173905,4.720434782608695,0.8775000000000001,14.924583333333333,0.7383333333333333,4.96375,33.266666666666666,63.85458333333333,1.8770833333333332,192.14541666666665,159.35083333333333,,0.33625,0.20125,0.21208333333333332,24.136666666666667
2016-07-14,12.955,39.257083333333334,13.051250000000001,42.606249999999996,30.4825,8.90125,5.315217391304348,0.3475,14.98913043478261,0.745,6.027083333333334,32.73166666666666,63.232499999999995,1.4675,181.13916666666668,178.42666666666665,,0.11833333333333333,0.22166666666666668,0.3104166666666667,24.912916666666664
2016-07-15,18.548750000000002,50.43083333333333,21.17125,46.66291666666667,38.46875,10.623913043478261,5.47,0.3775,13.981250000000001,0.7545833333333333,8.255833333333333,33.062916666666666,69.7675,1.0258333333333334,148.96541666666667,126.04875,,0.11166666666666668,0.24083333333333334,0.62375,24.18958333333333
2016-07-16,22.212083333333336,50.99333333333333,27.101666666666663,41.09875,40.17458333333334,11.480434782608697,6.230869565217391,1.1033333333333333,12.457916666666668,1.3195833333333333,8.245833333333334,33.25625,72.45125,1.0358333333333334,302.9166666666667,141.77416666666667,,0.20708333333333337,0.45458333333333334,0.0,23.633750000000003
