From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),CH4 (ug/m3),AT (degree C),RF (mm)
2015-12-01,,95.65499999999999,3.1975000000000002,30.467916666666667,33.666666666666664,,35.427083333333336,1.05125,19.010833333333334,,,,,,,,80.19791666666667,,,,,
2015-12-02,,82.90217391304348,3.285217391304348,23.894782608695653,26.03333333333333,,27.01,0.9116666666666666,14.11,,,,,,,,56.50125,,,,,
2015-12-03,,55.411249999999995,2.0195833333333333,16.382916666666667,18.403333333333332,,19.08375,0.45333333333333337,21.974166666666665,,,,,,,,101.45375,,,,,
2015-12-04,,60.855,3.75,25.670833333333334,29.394166666666667,,20.159565217391304,1.1629166666666666,19.105833333333333,,,,,,,,136.32250000000002,,,,,
2015-12-05,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,
2015-12-06,,,,,,,,,,,,,,,,,,,,,,
2015-12-07,,77.40214285714286,2.4819999999999998,17.127333333333333,12.530588235294118,,20.457857142857144,1.038235294117647,23.75357142857143,,,,,,,,161.13375,,,,,
2015-12-08,,85.04666666666667,2.96875,16.185,19.15625,,19.226666666666667,1.3104166666666666,15.706249999999999,,,,,,,,115.97250000000001,,,,,
2015-12-09,,82.16608695652174,3.4569565217391305,15.704347826086956,18.357499999999998,,17.08304347826087,1.13875,18.69782608695652,,,,,,,,90.85625,,,,,
2015-12-10,,70.17291666666667,3.1304166666666666,15.6325,18.7625,,18.175,1.0245833333333334,23.24791666666667,,,,,,,,119.07833333333333,,,,,
2015-12-11,,47.89291666666667,2.294166666666667,18.730416666666667,17.486666666666668,,32.575833333333335,0.6754166666666667,24.749583333333334,,,,,,,,119.60416666666667,,,,,
2015-12-12,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,
2015-12-13,,,,,,,,,,,,,,,,,,,,,,
2015-12-14,,83.35416666666667,2.466666666666667,21.58125,12.600833333333334,,17.48875,1.0358333333333334,24.260416666666668,,,,,,,,82.91333333333334,,,,,
2015-12-15,,92.45041666666667,2.4,27.31833333333333,15.572083333333333,,17.338333333333335,1.0991666666666666,20.632083333333334,,,,,,,,69.54625,,,,,
2015-12-16,,113.796875,4.47625,34.503125,14.853636363636362,,15.263125,0.5359090909090909,21.326875,,,,,,,,27.16681818181818,,,,,
2015-12-17,,87.59083333333332,2.567083333333333,30.469166666666666,17.30333333333333,,20.22375,0.8545833333333333,21.77625,,,,,,,,83.13791666666667,,,,,
2015-12-18,,75.74666666666667,2.768333333333333,28.36208333333333,16.312916666666666,,15.295,1.11,17.895833333333332,,,,,,,,46.247083333333336,,,,,
2015-12-19,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,
2015-12-20,,,,,,,,,,,,,,,,,,,,,,
2015-12-21,,73.79125,2.7845833333333334,29.551666666666666,16.944166666666664,,21.778333333333332,0.8591666666666667,25.605,,,,,,,,91.51916666666666,,,,,
2015-12-22,,95.92208333333333,2.6345833333333335,29.504583333333333,16.8425,,21.69125,1.1954166666666668,18.9225,,,,,,,,45.29125,,,,,
2015-12-23,,81.18375,2.9645833333333336,30.9575,17.772916666666667,,20.720416666666665,1.4779166666666665,20.93916666666667,,,,,,,,113.24583333333334,,,,,
2015-12-24,,64.86458333333333,2.7120833333333336,26.69125,15.383333333333333,,23.1875,1.0908333333333333,23.431304347826085,,,,,,,,82.65708333333333,,,,,
2015-12-25,,75.71916666666667,2.7175,26.435000000000002,15.276666666666666,,18.688333333333333,0.7675,21.08791666666667,,,,,,,,110.84916666666668,,,,,
2015-12-26,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,
2015-12-27,,,,,,,,,,,,,,,,,,,,,,
2015-12-28,,89.90291666666667,6.588333333333334,37.9475,23.337083333333336,,19.264166666666668,1.0158333333333334,19.77375,,,,,,,,126.17166666666667,,,,,
2015-12-29,,106.73083333333334,10.97625,45.932500000000005,29.82166666666667,,22.190833333333334,1.66625,13.514166666666666,,,,,,,,89.04041666666667,,,,,
2015-12-30,,100.97363636363637,8.439545454545454,39.67545454545455,23.110416666666666,,24.331363636363633,1.3150000000000002,15.68,,,,,,,,114.13666666666667,,,,,
2015-12-31,,145.48076923076923,9.03923076923077,44.46153846153846,21.43764705882353,,16.73846153846154,2.0,21.467692307692307,,,,,,,,97.40294117647059,,,,,
2016-01-01,,109.46583333333332,5.289583333333334,34.990833333333335,21.10625,,13.857083333333334,2.1641666666666666,15.665,,,,,,,,107.34375,,,,,
2016-01-02,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,
2016-01-03,,,,,,,,,,,,,,,,,,,,,,
2016-01-04,,105.92916666666667,4.653333333333333,38.30375,22.957916666666666,,17.734166666666667,1.89375,16.025833333333335,,,,,,,,110.15416666666665,,,,,
2016-01-05,,89.71249999999999,6.602083333333333,34.81041666666667,33.38833333333333,,15.032916666666667,1.6866666666666665,14.834166666666667,,,,,,,,106.22333333333334,,,,,
2016-01-06,,110.91125,5.835,37.42583333333334,43.259166666666665,,21.9725,1.5420833333333333,17.64708333333333,,,,,,,,102.78125,,,,,
2016-01-07,,114.96958333333333,4.3620833333333335,36.03958333333333,40.40208333333333,,22.805833333333336,1.5270833333333333,18.7625,,,,,,,,104.68083333333334,,,,,
