From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2020-03-11,32.323125,46.804375,6.996875,2.695625,11.781875,26.403750000000002,4.491875,0.605,4.835,0.03,0.2866666666666667,0.052222222222222225,0.11,41.849375,1.071875,170.92875,451.87916666666666,881.650625,,22.4175,0.12583333333333332
2020-03-12,31.792380952380952,39.37952380952381,7.19875,1.2708695652173914,10.66125,25.772916666666664,4.239166666666667,0.5554166666666667,3.1357142857142857,0.012083333333333333,0.06333333333333334,0.04090909090909091,0.07818181818181819,51.74041666666667,0.87875,177.14916666666667,328.9041176470588,885.8408333333333,,22.327083333333334,0.037083333333333336
2020-03-13,38.33695652173913,46.7095652173913,7.196666666666666,0.9275000000000001,10.40125,29.11666666666667,4.448333333333333,0.5645833333333333,0.189,0.0,0.0,,,55.225,1.2750000000000001,169.45541666666665,344.28764705882355,883.0104166666666,,23.04375,0.09041666666666666
2020-03-14,43.14000000000001,50.79291666666666,7.137083333333333,1.0508333333333333,10.461666666666666,29.01125,4.5424999999999995,0.5820833333333334,0.454,0.0,0.0,,,54.85458333333333,1.5525,160.11583333333334,371.99399999999997,881.1695833333333,,23.345416666666665,0.13333333333333333
2020-03-15,34.076521739130435,41.547391304347826,7.0879166666666675,0.3529166666666667,9.7175,28.497083333333332,4.6258333333333335,0.4708333333333334,0.31769230769230766,0.0,0.0,,,53.21625,1.4191666666666667,189.25375,277.21578947368425,880.94375,,23.49291666666667,0.2104166666666667
2020-03-16,26.095238095238095,33.329047619047614,5.457916666666667,2.44875,7.692083333333334,23.756666666666664,4.7325,0.49541666666666667,12.504666666666667,0.14,0.7445833333333334,0.4121428571428572,0.8635714285714285,49.99875,1.04,204.32375,328.604375,880.6254166666666,,22.221249999999998,0.16833333333333333
2020-03-17,27.62913043478261,36.31217391304347,3.0712500000000005,2.1242857142857146,3.5837499999999998,24.471666666666668,4.812916666666667,0.48625,6.055833333333333,0.2504166666666667,1.33875,0.4791666666666667,0.9358333333333334,50.89166666666667,0.9879166666666667,185.96333333333334,301.679375,884.8116666666666,,20.963333333333335,0.05791666666666667
2020-03-18,31.91875,41.92208333333333,2.997916666666667,1.4749999999999999,5.2299999999999995,23.385833333333334,5.083333333333333,0.4658333333333333,8.734166666666667,0.2404166666666667,1.17875,0.4395833333333334,0.8624999999999999,54.56583333333333,0.9512499999999999,178.96541666666667,377.5153846153846,886.8108333333333,,19.982916666666664,0.075
2020-03-19,44.27521739130435,53.998695652173915,2.970416666666667,1.31625,4.9695833333333335,23.43958333333333,5.284583333333333,0.48041666666666666,10.100416666666666,0.2579166666666667,1.115,0.38375,0.7879166666666667,53.199999999999996,1.015,174.5583333333333,331.87875,876.7920833333333,,21.27625,0.05458333333333334
2020-03-20,34.874545454545455,43.20681818181818,3.00625,0.8145833333333333,4.622916666666667,24.924166666666665,5.3495833333333325,0.4879166666666667,6.427916666666667,6.325833333333333,7.164583333333333,0.4116666666666667,0.8191304347826087,50.651666666666664,0.9954166666666667,173.43541666666667,314.4135714285714,883.9237499999999,,21.10625,0.020833333333333332
2020-03-21,51.078947368421055,59.72105263157895,3.013809523809524,0.8709523809523809,4.635714285714285,24.281904761904762,5.626666666666667,0.4990476190476191,8.32095238095238,33.0125,33.553333333333335,0.27166666666666667,0.6275000000000001,64.13666666666666,0.9323809523809523,197.38761904761907,252.0253846153846,885.3438095238096,,19.371904761904762,0.045714285714285714
2020-03-22,33.360416666666666,40.45458333333333,2.922083333333333,0.12833333333333333,3.6458333333333335,18.460833333333333,5.401666666666666,0.35625,5.638749999999999,13.864374999999999,14.455,0.30733333333333335,0.6526666666666667,65.41583333333334,1.04375,177.56541666666666,191.87571428571428,886.6920833333334,,18.42875,0.06333333333333334
2020-03-23,35.953478260869566,42.28913043478261,2.9920833333333334,0.15782608695652173,3.7304166666666667,20.246666666666666,5.6625000000000005,0.3275,5.754583333333334,55.067499999999995,54.6425,0.07,0.22,65.64833333333333,0.89875,158.96041666666667,214.24823529411765,879.8325,,19.396666666666665,0.09250000000000001
2020-03-24,48.92636363636364,58.28272727272727,2.9491666666666667,0.13791666666666666,3.6558333333333333,20.27125,6.16125,0.3741666666666667,5.646666666666667,0.3408333333333333,0.36375,0.29923076923076924,0.4608333333333334,62.92125000000001,0.9220833333333333,169.30041666666668,225.108125,879.2491666666666,,19.27875,0.14583333333333334
2020-03-25,52.61083333333334,61.693333333333335,2.96625,0.16833333333333333,3.764583333333333,25.697083333333335,6.785416666666666,0.435,6.422083333333333,0.2275,0.8370833333333333,0.37916666666666665,0.6483333333333333,58.82583333333333,1.1775,158.7275,390.40999999999997,882.05625,,21.529583333333335,0.05666666666666667
2020-03-26,54.56708333333333,62.36708333333333,2.9591666666666665,0.13458333333333333,3.68875,25.38208333333333,6.810833333333334,0.41875,5.900833333333334,0.25458333333333333,0.92125,0.4220833333333333,0.69,61.236250000000005,0.96625,180.07416666666666,208.89124999999999,876.8579166666667,,21.690416666666664,0.265
