From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2022-04-06,18.18125,43.636250000000004,2.15375,17.91875,19.31125,5.12875,4.175,0.45125,58.84625,0.03875,,0.14375,0.2175,,91.75,0.42625,128.2675,4.0775,,,16.9975,0.55125
2022-04-07,15.811000000000002,27.233333333333334,2.1091666666666664,11.19625,12.752083333333333,3.0437499999999997,4.110416666666667,0.3629166666666666,81.36041666666667,0.028333333333333332,,0.115,0.17375,,91.66708333333334,0.6054166666666666,155.59583333333333,55.74458333333334,,,16.504583333333333,1.10125
2022-04-08,,1.78,2.3015384615384615,15.435384615384615,15.102142857142857,4.5,3.769230769230769,0.3392857142857143,70.50538461538461,0.029285714285714283,,0.1176923076923077,0.17615384615384616,,94.75923076923078,0.6161538461538462,120.91538461538462,9.135714285714284,,,14.50923076923077,0.5242857142857142
2022-04-09,,,,,,,,,,,,,,,,,,,,,,
2022-04-10,,,,,,,,,,,,,,,,,,,,,,
2022-04-11,,,2.1300000000000003,12.505555555555555,13.28,3.267777777777778,4.164444444444445,0.3522222222222222,58.8111111111111,0.030000000000000002,,0.11777777777777779,0.17888888888888888,,78.77714285714286,0.2,69.44571428571429,9.08,,,19.705714285714286,0.0
2022-04-12,5.450833333333333,18.233076923076922,2.06625,8.635416666666666,10.7525,2.4370833333333333,4.439583333333333,0.35250000000000004,56.66791666666666,0.028333333333333332,,0.11208333333333333,0.1675,,79.89,0.301875,114.233125,33.35375,,,19.533125,0.04833333333333333
2022-04-13,2.193,3.215,2.2537499999999997,12.142916666666666,14.002083333333333,3.5708333333333333,4.369166666666667,0.37625,51.42791666666667,0.030416666666666665,,0.12041666666666667,0.18083333333333332,,90.085,0.5508333333333334,162.2575,61.38708333333333,,,17.795833333333334,0.08333333333333333
2022-04-14,12.450769230769232,39.72076923076923,2.0304166666666665,7.1379166666666665,9.334166666666667,1.4895833333333333,4.573333333333333,0.3333333333333333,72.4075,0.028333333333333332,,0.10666666666666667,0.15958333333333333,,80.64869565217391,0.6517391304347826,150.93434782608693,113.08291666666666,,,19.65695652173913,0.005
2022-04-15,16.48125,65.2975,2.000833333333333,8.68375,10.700416666666667,1.2611764705882353,4.737916666666666,0.32458333333333333,77.13125000000001,0.025833333333333333,,0.10375000000000001,0.15416666666666667,,58.50699999999999,0.321,92.15400000000001,28.59041666666667,,,21.657,0.0020833333333333333
2022-04-16,23.32,89.348,1.952,4.264,6.596000000000001,,4.736,0.33599999999999997,90.762,0.027999999999999997,,0.10600000000000001,0.162,,,,,0.0,,,,0.0
2022-04-17,,,,,,,,,,,,,,,,,,,,,,
2022-04-18,25.75,,1.97,9.897692307692306,11.596923076923076,,4.897692307692308,0.37538461538461537,79.75076923076924,0.030000000000000002,,0.12000000000000001,0.18,,62.118571428571435,0.55,128.08142857142857,108.2346153846154,,,23.56857142857143,0.0
2022-04-19,,43.545625,2.18125,12.160833333333334,14.111666666666666,,4.45625,0.3983333333333334,49.598749999999995,0.03333333333333333,,0.12666666666666668,0.1925,,87.30444444444444,0.5122222222222222,140.88166666666666,44.46791666666667,,,17.674444444444443,0.08
2022-04-20,,21.140714285714285,2.1458333333333335,9.887500000000001,11.990833333333335,,4.3687499999999995,0.33041666666666664,51.42916666666667,0.02625,,0.10666666666666667,0.15791666666666668,,78.13666666666667,0.6077777777777778,138.82333333333335,128.94708333333332,,,18.13611111111111,0.0016666666666666668
2022-04-21,2.0,8.635,2.2245833333333334,8.280833333333334,10.652916666666666,,4.691666666666666,0.2725,56.99791666666667,0.022083333333333333,,0.08708333333333333,0.12958333333333336,,64.69875,0.2575,84.53875,40.51625,,,22.58,0.08625000000000001
2022-04-22,3.75,19.974999999999998,2.0220833333333332,9.359583333333333,11.335,,4.664583333333334,0.285,75.38958333333333,0.02333333333333333,,0.09083333333333334,0.13833333333333334,,85.02833333333334,0.6291666666666667,173.25125,99.83125,,,17.74625,0.4154166666666667
2022-04-23,2.0,,2.006,5.08,7.424000000000001,,4.164,0.202,72.466,0.018,,0.062,0.1,,93.006,0.6439999999999999,97.91,0.0,,,14.526,0.0
2022-04-24,,,12.602500000000001,10.428749999999999,24.066666666666666,205.93,5.135,0.4077777777777778,80.325,0.03222222222222222,,0.15125,0.22125,,,,,0.0,,,,0.0
2022-04-25,,,1.9854166666666666,9.1875,11.135416666666666,,5.279583333333334,0.45541666666666664,89.68458333333332,0.03791666666666667,,0.145,0.22125000000000003,,,,,0.0,,,,0.0
2022-04-26,,,2.0412500000000002,10.5675,12.457083333333335,,5.360833333333333,0.41083333333333333,104.3625,0.03125,,0.13041666666666665,0.19625,,,,,0.0,,,,0.0
2022-04-27,,39.16,2.0191666666666666,8.135416666666666,10.231666666666667,,4.807083333333334,0.3516666666666666,74.54083333333334,0.028749999999999998,,0.11166666666666668,0.16874999999999998,,67.42,0.11,35.55,2.4066666666666667,,,22.67,0.0
2022-04-28,,,2.0745833333333334,6.204583333333333,8.534166666666666,,5.007499999999999,0.3825,48.52375,0.03125,,0.12166666666666666,0.18333333333333335,,75.55,0.33,49.23,0.44208333333333333,,,21.44,0.0
