From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2021-01-12,24.1,46.775,2.809,15.538,10.549,6.6659999999999995,5.754,0.771,35.912,0.152,0.86,,,,25.65222222222222,83.275,2.256,117.075,20.425,755.975,,27.506,0.0
2021-01-13,45.145833333333336,69.01041666666667,2.6370833333333334,15.929166666666667,10.620416666666666,8.564583333333333,5.312083333333333,0.69875,32.99583333333333,0.245,0.7033333333333333,,,,25.24416666666667,83.35416666666667,2.1750000000000003,119.95833333333333,85.94791666666667,756.8020833333334,,27.1725,0.0
2021-01-14,31.78125,49.541666666666664,1.9570833333333333,13.23625,8.634166666666667,8.40125,4.07625,0.6516666666666667,28.687083333333334,0.13291666666666666,0.6591666666666667,,,,25.30458333333333,86.9375,1.7883333333333333,123.29166666666667,49.21875,756.4583333333334,,26.347916666666666,0.14583333333333334
2021-01-15,39.1875,60.27791666666667,1.0941666666666667,10.858333333333334,6.66375,9.935416666666667,3.7969565217391303,0.6208333333333333,45.70666666666667,0.11416666666666668,0.4191666666666667,,,,25.3425,81.04166666666667,1.7179166666666665,122.22916666666667,100.95833333333333,756.5625,,27.327916666666667,0.0
2021-01-16,29.90625,56.475833333333334,1.7545833333333334,15.638333333333334,9.74375,9.535,4.374545454545454,0.61875,43.75416666666666,0.19166666666666665,1.1570833333333332,,,,26.657083333333333,74.67708333333333,1.7504166666666665,145.90625,116.94791666666667,755.90625,,27.472083333333334,0.0
2021-01-17,18.260416666666668,40.760416666666664,2.4454166666666666,16.507083333333334,10.75875,9.940833333333334,3.5827272727272725,0.48625,34.927083333333336,0.11708333333333333,0.7966666666666667,,,,28.430833333333336,69.53125,1.5991666666666668,125.55208333333333,102.95833333333333,757.0520833333334,,27.056250000000002,0.0
2021-01-18,23.5,51.40625,3.6841666666666666,19.02125,13.113750000000001,11.335,3.4376190476190476,0.5958333333333333,32.64083333333333,0.16041666666666668,0.84875,,,,27.79625,70.67708333333333,1.7866666666666668,111.20833333333333,102.83333333333333,757.65625,,25.51923076923077,0.0
2021-01-19,33.96875,65.98958333333333,2.5691666666666664,16.544583333333332,10.889583333333334,9.922083333333333,3.2075,0.5733333333333334,46.03583333333333,0.13125,0.6870833333333334,,,,25.4025,71.71875,1.8920833333333331,118.0,100.29166666666667,757.1354166666666,,,0.0
2021-01-20,50.333333333333336,88.36791666666666,2.2624999999999997,20.53625,12.75875,10.772916666666667,9.122916666666667,0.7683333333333334,48.604166666666664,0.18458333333333335,0.9341666666666666,,,,25.452083333333334,77.22916666666667,1.5720833333333333,111.23958333333333,61.520833333333336,757.5625,,,0.0
2021-01-21,33.90625,65.10083333333334,2.9137500000000003,18.15041666666667,12.03125,7.5995833333333325,4.630833333333333,0.7383333333333333,33.11375,0.1779166666666667,0.8574999999999999,,,,25.534166666666668,80.38541666666667,1.5491666666666666,146.85416666666666,95.375,757.0729166666666,,29.683333333333334,0.0
2021-01-22,6.75,26.21875,1.6152173913043477,10.334166666666667,6.735416666666667,2.9095833333333334,3.045,0.5033333333333333,18.4225,0.08750000000000001,0.4679166666666667,,,,25.551666666666666,79.125,1.7716666666666667,204.40625,102.6875,757.0729166666666,,28.993333333333336,0.0
2021-01-23,15.989583333333334,40.21875,3.359565217391304,14.01625,10.052083333333334,8.492916666666668,4.2283333333333335,0.57625,28.27,0.09999999999999999,0.5608333333333334,,,,25.44333333333333,73.85416666666667,1.8104166666666668,153.90291666666667,115.45833333333333,757.5208333333334,,28.30875,0.0
2021-01-24,28.852272727272727,57.29545454545455,2.201428571428571,16.27090909090909,10.355,9.202272727272726,5.240454545454545,0.5280952380952381,42.46363636363637,0.09863636363636363,0.5631818181818182,,,,25.71681818181818,68.94318181818181,1.7131818181818181,166.79545454545453,119.36363636363636,758.125,,28.52409090909091,0.0
2021-01-25,27.145833333333332,52.916666666666664,4.8237499999999995,20.662916666666664,14.915416666666667,9.282083333333334,4.995833333333334,0.7316666666666666,29.0275,0.16375,0.8562500000000001,,,,25.545416666666668,70.375,1.6566666666666665,149.10416666666666,119.82291666666667,758.65625,,28.18375,0.0
2021-01-26,29.0,58.302083333333336,2.866470588235294,19.016666666666666,12.217916666666667,9.329583333333334,6.114705882352942,0.5599999999999999,46.84625,0.12375000000000001,0.63,,,,25.592083333333335,64.07291666666667,1.81125,150.30208333333334,115.5,758.0833333333334,,27.798333333333332,0.0
2021-01-27,45.1875,79.52083333333333,2.7964285714285713,21.467916666666667,13.842083333333333,10.974166666666667,6.939285714285715,0.7254166666666667,55.135,0.16083333333333333,0.7825000000000001,,,,25.599999999999998,68.10416666666667,1.5704166666666666,108.5625,111.29166666666667,758.2708333333334,,27.284583333333334,0.0
2021-01-28,62.15625,101.1875,1.8970833333333335,16.96625,10.549583333333333,12.2675,5.658333333333334,0.72625,55.961666666666666,0.046363636363636364,0.3,,,,25.90416666666667,71.02083333333333,1.8916666666666666,128.94791666666666,88.59375,758.3541666666666,,27.592916666666667,0.0
