From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s)
2010-01-01,,,24.65416666666667,59.05166666666667,83.70708333333333,,5.865833333333334,1.345,13.746250000000002,,,,,,27.39,82.99333333333333,1.08125,186.35708333333332,177.01125000000002,1007.3545833333334,0.5691666666666667
2010-01-02,,,14.33,42.58125,56.91083333333333,,4.857083333333333,1.3566666666666667,15.637083333333335,,,,,,27.422916666666666,81.67208333333333,1.2216666666666667,171.53875000000002,148.94791666666666,1008.6895833333333,0.57625
2010-01-03,,,19.585,41.03791666666667,60.59041666666667,,5.42875,1.7245833333333334,23.526666666666667,,,,,,27.277916666666666,74.05208333333333,1.15875,116.67791666666666,130.44541666666666,1008.8529166666667,0.5725
2010-01-04,,,39.66458333333333,85.53958333333333,125.20416666666667,,10.783333333333333,2.34375,15.16125,,,,,,25.83458333333333,81.45041666666667,0.9220833333333333,198.39416666666668,203.0666666666667,1007.5558333333333,0.5604166666666667
2010-01-05,,,38.10583333333333,94.57333333333332,132.67875,,5.738333333333333,0.9812500000000001,10.564166666666667,,,,,,25.38291666666667,83.61083333333333,0.9329166666666667,196.8841666666667,163.87708333333333,1005.5949999999999,0.5566666666666668
2010-01-06,,,24.914583333333336,78.17291666666667,103.09041666666667,,10.040000000000001,1.36,12.879583333333334,,,,,,26.862916666666667,80.19333333333333,1.2754166666666666,184.81625,165.21916666666667,1005.8887500000001,0.5850000000000001
2010-01-07,,,15.087916666666667,54.562083333333334,69.65041666666666,,7.975416666666667,1.1458333333333333,20.767916666666668,,,,,,28.252499999999998,73.33,1.7391666666666667,93.80416666666667,166.05375,1006.6237500000001,0.6070833333333333
2010-01-08,,,11.745,44.043749999999996,55.78666666666667,,4.87625,1.2075,15.162083333333333,,,,,,26.02208333333333,92.44541666666667,1.3724999999999998,227.9275,43.217083333333335,1007.1566666666666,0.5758333333333333
2010-01-09,,,13.568333333333333,43.45041666666666,57.01958333333334,,3.83,1.425,11.754166666666668,,,,,,26.667083333333334,93.08791666666667,1.4166666666666667,236.44041666666666,136.17041666666668,1006.60125,0.5812499999999999
2010-01-10,,,17.722916666666666,49.119166666666665,66.84166666666667,,7.412916666666667,1.5066666666666668,10.43375,,,,,,27.661666666666665,88.96875,1.1533333333333333,186.705,144.77416666666667,1007.62,0.5650000000000001
2010-01-11,,,19.84,44.638749999999995,64.47708333333334,,5.4312499999999995,0.9420833333333333,3.8379166666666666,,,,,,28.615416666666665,90.25166666666667,0.98,134.16,194.45416666666665,1008.5366666666667,0.55625
2010-01-12,,,22.183333333333334,46.10874999999999,68.29166666666667,,3.8541666666666665,1.26625,3.640833333333333,,,,,,28.718333333333334,87.91166666666668,0.895,145.83291666666668,202.54875,1008.9020833333334,0.55625
2010-01-13,,,17.0525,41.406666666666666,58.29333333333333,,4.32625,2.0004166666666667,4.288333333333333,,,,,,29.04041666666667,87.16541666666666,0.9020833333333332,148.5525,188.40958333333333,1009.3475,0.5529166666666667
2010-01-14,,,10.875833333333333,25.319999999999997,35.86625,,2.370416666666667,1.4454166666666666,6.315,,,,,,28.78833333333333,85.71166666666666,0.9700000000000001,127.80375,202.86666666666667,1010.4408333333334,0.5566666666666668
2010-01-15,,,8.7975,30.779583333333335,39.47,,2.0104166666666665,1.45375,19.4725,,,,,,28.355416666666667,75.29583333333333,1.28875,85.62208333333332,136.96791666666667,1011.67875,0.5729166666666666
2010-01-16,,,13.639166666666668,42.75625,56.39666666666667,,5.059166666666667,0.9279166666666666,10.9475,,,,,,27.679166666666664,78.66666666666667,1.3083333333333333,180.22708333333333,197.975,1012.6383333333333,0.5766666666666667
2010-01-17,,,15.566666666666668,32.33208333333334,47.89833333333333,,4.385833333333333,1.0169565217391305,11.060416666666667,,,,,,27.455,83.82583333333334,0.9883333333333333,161.62666666666667,195.81541666666666,1012.3991666666667,0.5537500000000001
2010-01-18,,,16.51625,39.0675,55.584583333333335,,4.808333333333334,1.7641666666666664,13.774166666666666,,,,,,27.957916666666666,83.91541666666667,0.9745833333333334,159.14625,193.67416666666668,1011.36125,0.5533333333333333
2010-01-19,,,17.014583333333334,51.78666666666666,68.80125,,5.026666666666666,1.7425,15.988333333333335,,,,,,27.740416666666665,80.49458333333332,1.0708333333333333,138.31375,169.06833333333333,1009.5216666666666,0.55625
2010-01-20,,,25.327916666666667,71.46416666666667,96.79291666666666,,7.47375,2.00125,14.907083333333333,,,,,,27.199166666666667,74.94708333333334,1.0675000000000001,167.25583333333333,184.04375000000002,1010.3537499999999,0.55875
2010-01-21,,,26.196250000000003,82.05041666666666,108.24624999999999,,10.679166666666667,4.087916666666667,13.587083333333332,,,,,,26.80458333333333,64.1675,1.2708333333333333,164.11708333333334,193.88791666666668,1009.82,0.5720833333333334
2010-01-22,,,24.927916666666665,78.64833333333333,103.57666666666667,,12.46125,1.64875,14.295833333333334,,,,,,26.07166666666667,69.19666666666667,1.2929166666666667,210.795,159.28958333333333,1009.5233333333334,0.5870833333333333
2010-01-23,,,21.260416666666668,71.70291666666667,92.96375,,11.6875,1.4733333333333334,12.846666666666666,,,,,,26.249583333333334,71.40291666666667,1.335,209.595,157.47791666666666,1009.4045833333333,0.5879166666666666
